Date,Open,High,Low,Close,Volume,MA7,MA25,MA99,RSI,MACD,MACD_signal,ADX,Volatility,returns
2025-08-06,7.617,8.399,7.544,8.397,258774.98,8.038285714285715,7.50096,7.760676767676768,19.92066751820478,-0.12950839107435907,-0.12883317518953608,0.0,0.02635573484294472,
2025-08-07,8.397,8.691,8.224,8.505,303141.99,8.038285714285715,7.50096,7.760676767676768,19.92066751820478,-0.12950839107435907,-0.12883317518953608,0.0,0.02635573484294472,0.012861736334405238
2025-08-08,8.506,8.849,8.36,8.385,175512.39,8.038285714285715,7.50096,7.760676767676768,19.92066751820478,-0.12950839107435907,-0.12883317518953608,0.0,0.02635573484294472,-0.014109347442680886
2025-08-09,8.384,8.591,8.155,8.181,261087.55,8.038285714285715,7.50096,7.760676767676768,19.92066751820478,-0.12950839107435907,-0.12883317518953608,0.0,0.02635573484294472,-0.024329159212880258
2025-08-10,8.187,8.227,7.79,7.87,167031.06,8.038285714285715,7.50096,7.760676767676768,19.92066751820478,-0.12950839107435907,-0.12883317518953608,0.0,0.02635573484294472,-0.03801491260237122
2025-08-11,7.868,8.045,7.436,7.468,228798.54,8.038285714285715,7.50096,7.760676767676768,19.92066751820478,-0.12950839107435907,-0.12883317518953608,0.0,0.02635573484294472,-0.051080050825921264
2025-08-12,7.467,7.666,7.387,7.462,229205.19,8.038285714285715,7.50096,7.760676767676768,19.92066751820478,-0.12950839107435907,-0.12883317518953608,0.0,0.02635573484294472,-0.0008034279592930016
2025-08-13,7.462,7.679,7.364,7.498,222178.67,7.909857142857143,7.50096,7.760676767676768,19.92066751820478,-0.12950839107435907,-0.12883317518953608,0.0,0.02635573484294472,0.00482444384883407
2025-08-14,7.497,7.573,7.055,7.142,197184.31,7.715142857142857,7.50096,7.760676767676768,19.92066751820478,-0.12950839107435907,-0.12883317518953608,0.0,0.02635573484294472,-0.04747932782075215
2025-08-15,7.141,7.34,7.136,7.315,97813.04,7.562285714285714,7.50096,7.760676767676768,19.92066751820478,-0.12950839107435907,-0.12883317518953608,0.0,0.02635573484294472,0.02422290674880978
2025-08-16,7.318,7.433,7.253,7.379,51450.37,7.4477142857142855,7.50096,7.760676767676768,19.92066751820478,-0.12950839107435907,-0.12883317518953608,0.0,0.02635573484294472,0.008749145591250729
2025-08-17,7.378,7.464,7.341,7.419,76191.68,7.383285714285714,7.50096,7.760676767676768,19.92066751820478,-0.12950839107435907,-0.12883317518953608,0.0,0.02635573484294472,0.005420788724759484
2025-08-18,7.417,7.479,7.178,7.298,85444.19,7.359000000000001,7.50096,7.760676767676768,19.92066751820478,-0.12950839107435907,-0.12883317518953608,0.0,0.02635573484294472,-0.016309475670575502
2025-08-19,7.298,7.336,7.055,7.059,33814.58,7.301428571428572,7.50096,7.760676767676768,19.92066751820478,-0.12950839107435907,-0.12883317518953608,0.0,0.02635573484294472,-0.03274869827349958
2025-08-20,7.058,7.271,6.947,7.22,63157.75,7.261714285714286,7.50096,7.760676767676768,28.663780931577293,-0.12950839107435907,-0.12883317518953608,0.0,0.02635573484294472,0.0228077631392547
2025-08-21,7.226,7.319,7.054,7.081,36874.36,7.253,7.50096,7.760676767676768,26.022203507994064,-0.12950839107435907,-0.12883317518953608,0.0,0.02635573484294472,-0.01925207756232683
2025-08-22,7.089,7.234,6.954,7.183,110510.46,7.234142857142857,7.50096,7.760676767676768,31.044138772036376,-0.12950839107435907,-0.12883317518953608,0.0,0.02635573484294472,0.014404745092500892
2025-08-23,7.192,7.248,6.92,7.134,202887.51,7.199142857142858,7.50096,7.760676767676768,29.990869609560562,-0.12950839107435907,-0.12883317518953608,0.0,0.02635573484294472,-0.006821662258109318
2025-08-24,7.138,7.186,6.875,6.912,106727.68,7.126714285714286,7.50096,7.760676767676768,25.731322390606195,-0.12950839107435907,-0.12883317518953608,0.0,0.02635573484294472,-0.03111858704793946
2025-08-25,6.91,7.11,6.9,7.005,131985.4,7.084857142857142,7.50096,7.760676767676768,30.203535206607825,-0.12950839107435907,-0.12883317518953608,0.0,0.02635573484294472,0.01345486111111116
2025-08-26,7.007,7.35,6.98,7.347,164753.55,7.1259999999999994,7.50096,7.760676767676768,43.643262470999794,-0.12950839107435907,-0.12883317518953608,0.0,0.02635573484294472,0.04882226980728066
2025-08-27,7.344,7.571,7.283,7.562,129714.79,7.174857142857143,7.50096,7.760676767676768,50.14279332284303,-0.12950839107435907,-0.12883317518953608,0.0,0.027225024213004507,0.029263645025180418
2025-08-28,7.56,7.623,7.365,7.474,100334.04,7.231,7.50096,7.760676767676768,47.71708293788536,-0.12950839107435907,-0.12883317518953608,0.0,0.027189489690601518,-0.011637133033589042
2025-08-29,7.476,7.6,7.306,7.545,131042.19,7.2827142857142855,7.50096,7.760676767676768,49.82604664219272,-0.12950839107435907,-0.12883317518953608,0.0,0.02700028481034725,0.009499598608509574
2025-08-30,7.546,7.737,7.477,7.683,97454.92,7.361142857142857,7.50096,7.760676767676768,53.732567239811274,-0.12950839107435907,-0.12883317518953608,0.0,0.026155087690650725,0.018290258449304098
2025-08-31,7.694,7.761,7.38,7.394,69571.33,7.43,7.460840000000001,7.760676767676768,45.70665077262998,-0.12950839107435907,-0.12883317518953608,0.0,0.02493984741809415,-0.03761551477287517
2025-09-01,7.394,7.503,7.209,7.496,103890.66,7.500142857142857,7.42048,7.760676767676768,48.623465622164495,-0.11280713836646328,-0.12883317518953608,0.0,0.025134166679915578,0.013794968893697579
2025-09-02,7.502,7.548,7.245,7.335,71221.39,7.498428571428572,7.37848,7.760676767676768,44.55467023447359,-0.1112798647250477,-0.12883317518953608,30.81498970561745,0.025581709185079602,-0.02147812166488805
2025-09-03,7.34,7.439,7.244,7.394,63373.08,7.474428571428571,7.347,7.760676767676768,46.327166318455966,-0.10410858349915131,-0.12883317518953608,29.87243506930087,0.02314446862641728,0.008043626448534402
2025-09-04,7.401,7.52,7.184,7.243,63943.77,7.441428571428572,7.32192,7.760676767676768,42.57577400263821,-0.10934921976377243,-0.12883317518953608,28.56523971631122,0.02303997442259065,-0.020421963754395422
2025-09-05,7.248,7.319,7.139,7.24,69921.41,7.397857142857143,7.312799999999999,7.760676767676768,42.50213693177544,-0.1124483026518508,-0.12883317518953608,27.539917669628835,0.022942660818758516,-0.00041419301394451935
2025-09-06,7.24,7.261,7.055,7.094,52057.8,7.313714285714285,7.29808,7.760676767676768,38.96967849852566,-0.12524162055388555,-0.12883317518953608,26.934654693289833,0.02329403307893237,-0.020165745856353556
2025-09-07,7.104,7.114,6.95,6.989,86424.86,7.255857142857144,7.27772,7.760676767676768,36.61288581205909,-0.1422136887614185,-0.12883317518953608,26.781893937953036,0.023247596793860133,-0.014801240484916933
2025-09-08,6.996,7.051,6.892,7.009,95254.39,7.186285714285715,7.2724,7.760676767676768,37.38960914889791,-0.15229478278428488,-0.12883317518953608,26.857128841045306,0.022096108836523982,0.002861639719559328
2025-09-09,7.009,7.325,6.813,6.915,237938.26,7.126285714285714,7.2564,7.760676767676768,35.206048789622685,-0.16595609824055657,-0.13625775979974017,25.369799280862633,0.02159630611905821,-0.013411328292195823
2025-09-10,6.915,7.009,6.902,6.973,60727.18,7.066142857142857,7.2401599999999995,7.760676767676768,37.62651545772583,-0.1701413898573998,-0.1430344858112721,23.988707546407294,0.021312327016175654,0.008387563268257292
2025-09-11,6.973,7.028,6.905,6.957,44187.83,7.025285714285714,7.221680000000001,7.760676767676768,37.213523018347566,-0.17275788454458674,-0.14897916555793503,22.603795583625697,0.021020594002695677,-0.002294564749748984
2025-09-12,6.96,7.053,6.879,6.984,85787.66,6.988714285714286,7.20912,7.760676767676768,38.441428944487974,-0.17068524779472227,-0.1533203820052925,21.45101297388477,0.021011217526843047,0.0038809831824062613
2025-09-13,6.988,7.073,6.905,6.985,100735.54,6.973142857142856,7.20616,7.760676767676768,38.48940999941923,-0.1670364839844911,-0.15606360240113223,20.259386765547795,0.019767161083951205,0.0001431844215349365
2025-09-14,6.98,6.999,6.897,6.918,38743.22,6.963,7.194079999999999,7.760676767676768,36.440043489201535,-0.16761894556924428,-0.15837467103475467,19.199253304729854,0.019656551661617762,-0.009591982820329248
2025-09-15,6.918,7.012,6.824,7.0,81790.86,6.961714285714286,7.190840000000001,7.760676767676768,40.6080617474235,-0.15962379216049793,-0.15862449525990335,18.639054377916157,0.016217391143397486,0.01185313674472388
2025-09-16,7.002,7.049,6.92,7.042,59606.61,6.979857142857143,7.1852,7.760676767676768,42.681361098526764,-0.14819028117460853,-0.1565376524428444,17.85528848266697,0.014587436539426844,0.006000000000000005
2025-09-17,7.041,7.353,6.731,7.156,331721.69,7.006,7.18608,7.760676767676768,47.98865171630045,-0.12844960696999852,-0.15092004334827522,17.7759895334333,0.015084355499757675,0.016188582788980277
2025-09-18,7.156,9.19,7.053,8.04,2261048.86,7.160714285714286,7.231200000000001,7.760676767676768,70.66859499704908,-0.04100093507783953,-0.12893622169418809,21.246861371725863,0.03188261794584205,0.12353269983230852
