Date,Open,High,Low,Close,Volume,MA7,MA25,MA99,RSI,MACD,MACD_signal,ADX,Volatility
2025-07-12,0.835,0.849,0.793,0.808,10899545.07,0.9194285714285714,1.01092,1.1553222222222224,67.31957197578635,-0.003908916648374117,0.0791785008508412,0.0,0.05373762440245214
2025-07-13,0.808,0.855,0.801,0.838,12501251.62,0.9194285714285714,1.01092,1.1553222222222224,67.31957197578635,-0.003908916648374117,0.0791785008508412,0.0,0.05373762440245214
2025-07-14,0.839,0.897,0.835,0.861,23962411.01,0.9194285714285714,1.01092,1.1553222222222224,67.31957197578635,-0.003908916648374117,0.0791785008508412,0.0,0.05373762440245214
2025-07-15,0.861,0.909,0.826,0.907,19792784.3,0.9194285714285714,1.01092,1.1553222222222224,67.31957197578635,-0.003908916648374117,0.0791785008508412,0.0,0.05373762440245214
2025-07-16,0.908,0.952,0.882,0.928,29089869.13,0.9194285714285714,1.01092,1.1553222222222224,67.31957197578635,-0.003908916648374117,0.0791785008508412,0.0,0.05373762440245214
2025-07-17,0.928,1.073,0.904,1.04,76400211.02,0.9194285714285714,1.01092,1.1553222222222224,67.31957197578635,-0.003908916648374117,0.0791785008508412,0.0,0.05373762440245214
2025-07-18,1.04,1.156,1.029,1.054,63114408.69,0.9194285714285714,1.01092,1.1553222222222224,67.31957197578635,-0.003908916648374117,0.0791785008508412,0.0,0.05373762440245214
2025-07-19,1.055,1.129,1.028,1.11,20485803.36,0.9625714285714286,1.01092,1.1553222222222224,67.31957197578635,-0.003908916648374117,0.0791785008508412,0.0,0.05373762440245214
2025-07-20,1.11,1.291,1.091,1.19,60231437.05,1.012857142857143,1.01092,1.1553222222222224,67.31957197578635,-0.003908916648374117,0.0791785008508412,0.0,0.05373762440245214
2025-07-21,1.191,1.279,1.172,1.203,36295092.27,1.0617142857142858,1.01092,1.1553222222222224,67.31957197578635,-0.003908916648374117,0.0791785008508412,0.0,0.05373762440245214
2025-07-22,1.203,1.221,1.124,1.219,30114889.86,1.1062857142857143,1.01092,1.1553222222222224,67.31957197578635,-0.003908916648374117,0.0791785008508412,0.0,0.05373762440245214
