Date,Open,High,Low,Close,Volume,MA7,MA25,MA99,RSI,MACD,MACD_signal,ADX,Volatility
2022-10-28,0.7711,0.8058,0.7615,0.7976,3251034.0,0.8319714285714286,0.707608,0.6084050505050506,38.141627941334,-0.06471940803735776,-0.05251935704691209,0.0,0.08280552623820157
2022-10-29,0.7978,0.834,0.7964,0.8121,4591460.0,0.8319714285714286,0.707608,0.6084050505050506,38.141627941334,-0.06471940803735776,-0.05251935704691209,0.0,0.08280552623820157
2022-10-30,0.8116,0.9492,0.8019,0.8612,27439942.0,0.8319714285714286,0.707608,0.6084050505050506,38.141627941334,-0.06471940803735776,-0.05251935704691209,0.0,0.08280552623820157
2022-10-31,0.8612,0.913,0.8475,0.8715,12493717.0,0.8319714285714286,0.707608,0.6084050505050506,38.141627941334,-0.06471940803735776,-0.05251935704691209,0.0,0.08280552623820157
2022-11-01,0.8714,0.9192,0.8598,0.8598,7961565.0,0.8319714285714286,0.707608,0.6084050505050506,38.141627941334,-0.06471940803735776,-0.05251935704691209,0.0,0.08280552623820157
2022-11-02,0.8598,0.8625,0.7909,0.8115,10575031.0,0.8319714285714286,0.707608,0.6084050505050506,38.141627941334,-0.06471940803735776,-0.05251935704691209,0.0,0.08280552623820157
2022-11-03,0.8113,0.8493,0.802,0.8101,7040948.0,0.8319714285714286,0.707608,0.6084050505050506,38.141627941334,-0.06471940803735776,-0.05251935704691209,0.0,0.08280552623820157
2022-11-04,0.8102,0.8937,0.8064,0.8875,9315167.0,0.8448142857142857,0.707608,0.6084050505050506,38.141627941334,-0.06471940803735776,-0.05251935704691209,0.0,0.08280552623820157
2022-11-05,0.8875,0.9854,0.8875,0.9142,17713867.0,0.8593999999999999,0.707608,0.6084050505050506,38.141627941334,-0.06471940803735776,-0.05251935704691209,0.0,0.08280552623820157
2022-11-06,0.9142,0.9201,0.8375,0.846,5330238.0,0.8572285714285713,0.707608,0.6084050505050506,38.141627941334,-0.06471940803735776,-0.05251935704691209,0.0,0.08280552623820157
2022-11-07,0.8457,0.8667,0.8176,0.8405,6719672.0,0.8528,0.707608,0.6084050505050506,38.141627941334,-0.06471940803735776,-0.05251935704691209,0.0,0.08280552623820157
2022-11-08,0.8404,0.8631,0.6,0.7132,23602693.0,0.8318571428571427,0.707608,0.6084050505050506,38.141627941334,-0.06471940803735776,-0.05251935704691209,0.0,0.08280552623820157
2022-11-09,0.7127,0.7192,0.5509,0.5649,25062874.0,0.7966285714285714,0.707608,0.6084050505050506,38.141627941334,-0.06471940803735776,-0.05251935704691209,0.0,0.08280552623820157
2022-11-10,0.5652,0.683,0.5571,0.6715,25447409.0,0.7768285714285713,0.707608,0.6084050505050506,38.141627941334,-0.06471940803735776,-0.05251935704691209,0.0,0.08280552623820157
2022-11-11,0.671,0.678,0.6007,0.6334,13297742.0,0.7405285714285714,0.707608,0.6084050505050506,35.463668109354415,-0.06471940803735776,-0.05251935704691209,0.0,0.08280552623820157
2022-11-12,0.6346,0.635,0.5857,0.5935,5426517.0,0.6947142857142857,0.707608,0.6084050505050506,32.861558463905126,-0.06471940803735776,-0.05251935704691209,0.0,0.08280552623820157
2022-11-13,0.5936,0.6824,0.5708,0.5908,19719720.0,0.6582571428571429,0.707608,0.6084050505050506,32.68677931453419,-0.06471940803735776,-0.05251935704691209,0.0,0.08280552623820157
2022-11-14,0.5907,0.6096,0.5464,0.5895,16949799.0,0.6224,0.707608,0.6084050505050506,32.59688301587599,-0.06471940803735776,-0.05251935704691209,0.0,0.08280552623820157
2022-11-15,0.5895,0.62,0.5777,0.6018,7105474.0,0.6064857142857143,0.707608,0.6084050505050506,34.434238672527314,-0.06471940803735776,-0.05251935704691209,0.0,0.08280552623820157
2022-11-16,0.601,0.6078,0.5682,0.5852,4433888.0,0.6093857142857143,0.707608,0.6084050505050506,33.121986541768166,-0.06471940803735776,-0.05251935704691209,0.0,0.08280552623820157
2022-11-17,0.5856,0.5903,0.5625,0.5794,3238245.0,0.5962285714285714,0.707608,0.6084050505050506,32.65375090344358,-0.06471940803735776,-0.05251935704691209,0.0,0.08280552623820157
2022-11-18,0.5796,0.59,0.569,0.5782,3385833.0,0.5883428571428572,0.707608,0.6084050505050506,32.55122035036649,-0.06471940803735776,-0.05251935704691209,0.0,0.08253400378397036
2022-11-19,0.5781,0.6201,0.5649,0.5969,8124209.0,0.5888285714285715,0.707608,0.6084050505050506,35.92748912315962,-0.06471940803735776,-0.05251935704691209,0.0,0.0814398209392558
2022-11-20,0.5967,0.6012,0.5423,0.5465,6152795.0,0.5825000000000001,0.707608,0.6084050505050506,31.36976719786263,-0.06471940803735776,-0.05251935704691209,0.0,0.08260945189446357
2022-11-21,0.5463,0.56,0.519,0.5334,7609181.0,0.5744857142857143,0.707608,0.6084050505050506,30.294036541224074,-0.06471940803735776,-0.05251935704691209,0.0,0.08260069055979946
2022-11-22,0.5334,0.5553,0.5179,0.555,7679333.0,0.5678,0.6979040000000001,0.6084050505050506,34.29494115357549,-0.06471940803735776,-0.05251935704691209,0.0,0.08321488509495442
2022-11-23,0.5552,0.5731,0.5501,0.5712,8528874.0,0.5658000000000001,0.6882680000000001,0.6084050505050506,37.20600879986327,-0.06196037632979012,-0.05251935704691209,0.0,0.08376816767060766
2022-11-24,0.5714,0.5911,0.5517,0.5636,10749257.0,0.5635428571428571,0.676364,0.6084050505050506,36.39142492087219,-0.05969890845258152,-0.05251935704691209,13.277126377304398,0.07972255049525566
2022-11-25,0.5636,0.5658,0.5453,0.5641,4981982.0,0.5615285714285715,0.6640679999999999,0.6084050505050506,36.48994082316077,-0.057206887654739025,-0.05251935704691209,12.910815222394628,0.07903443858265793
2022-11-26,0.5643,0.5815,0.5561,0.5648,3923293.0,0.5569428571428572,0.652268,0.6084050505050506,36.63789695714754,-0.054546678908227175,-0.05251935704691209,12.246067978756235,0.07813091513252984
2022-11-27,0.5645,0.5927,0.562,0.5677,5544803.0,0.5599714285714286,0.642516,0.6084050505050506,37.289696425548804,-0.05160951617055298,-0.05251935704691209,11.397377171303168,0.07825640061904424
2022-11-28,0.5679,0.5746,0.5357,0.5528,6349618.0,0.5627428571428571,0.632224,0.6084050505050506,35.2815077716797,-0.049908781647639566,-0.05251935704691209,11.130880370982482,0.07161058438915976
2022-11-29,0.5528,0.5719,0.5465,0.5618,5885412.0,0.5637142857142857,0.6191960000000001,0.6084050505050506,37.47194837830522,-0.047289587572449276,-0.05251935704691209,10.883419056398989,0.05453193045090619
