Date,Open,High,Low,Close,Volume,ret_1d,log_ret_1d,eq,cum_ret,ret_7d,ret_14d,ret_30d,log_ret_7d,log_ret_14d,log_ret_30d,roll_max,dd,vol_7d,vol_14d,vol_30d,up,down,MA7,MA25,MA99,RSI,MACD,MACD_signal,ADX,Volatility,returns
2025-05-05 04:00:00,21.8673,21.8949,21.4624,21.6373,5285200,-0.0068,-0.0068,0.9932,-0.0068,-0.0451,-0.0472,-0.0834,-0.0461,-0.0484,-0.0871,0.9932,0.0,0.0122,0.0127,0.0117,0,0,21.340128571428572,20.982343999999998,18.945832323232324,30.95984505067659,-0.189289491845809,-0.29074276562420664,0.0,0.012372621399793055,
2025-05-06 04:00:00,21.5544,21.6833,21.4256,21.49,4542400,-0.0068,-0.0068,0.9932,-0.0068,-0.0451,-0.0472,-0.0834,-0.0461,-0.0484,-0.0871,0.9932,0.0,0.0122,0.0127,0.0117,0,1,21.340128571428572,20.982343999999998,18.945832323232324,30.95984505067659,-0.189289491845809,-0.29074276562420664,0.0,0.012372621399793055,-0.006807688574822279
2025-05-07 04:00:00,21.4992,21.5268,21.0482,21.1679,10011900,-0.015,-0.0151,0.9783,-0.0217,-0.0451,-0.0472,-0.0834,-0.0461,-0.0484,-0.0871,0.9932,-0.015,0.0122,0.0127,0.0117,0,1,21.340128571428572,20.982343999999998,18.945832323232324,30.95984505067659,-0.189289491845809,-0.29074276562420664,0.0,0.012372621399793055,-0.014988366682177734
2025-05-08 04:00:00,21.1219,21.5084,20.9654,21.3704,8712000,0.0096,0.0095,0.9877,-0.0123,-0.0451,-0.0472,-0.0834,-0.0461,-0.0484,-0.0871,0.9932,-0.0056,0.0122,0.0127,0.0117,1,0,21.340128571428572,20.982343999999998,18.945832323232324,30.95984505067659,-0.189289491845809,-0.29074276562420664,0.0,0.012372621399793055,0.009566371723222389
2025-05-09 04:00:00,21.398,21.536,21.2231,21.2507,7697700,-0.0056,-0.0056,0.9821,-0.0179,-0.0451,-0.0472,-0.0834,-0.0461,-0.0484,-0.0871,0.9932,-0.0111,0.0122,0.0127,0.0117,0,1,21.340128571428572,20.982343999999998,18.945832323232324,30.95984505067659,-0.189289491845809,-0.29074276562420664,0.0,0.012372621399793055,-0.005601205405607823
2025-05-12 04:00:00,21.3151,21.6004,21.1403,21.4532,8948900,0.0095,0.0095,0.9915,-0.0085,-0.0451,-0.0472,-0.0834,-0.0461,-0.0484,-0.0871,0.9932,-0.0017,0.0122,0.0127,0.0117,1,0,21.340128571428572,20.982343999999998,18.945832323232324,30.95984505067659,-0.189289491845809,-0.29074276562420664,0.0,0.012372621399793055,0.009529097865011549
2025-05-13 04:00:00,21.398,21.4624,20.8274,21.0114,7362400,-0.0206,-0.0208,0.9711,-0.0289,-0.0451,-0.0472,-0.0834,-0.0461,-0.0484,-0.0871,0.9932,-0.0223,0.0122,0.0127,0.0117,0,1,21.340128571428572,20.982343999999998,18.945832323232324,30.95984505067659,-0.189289491845809,-0.29074276562420664,0.0,0.012372621399793055,-0.02059366434844223
2025-05-14 04:00:00,20.9378,20.993,20.5973,20.6617,6485900,-0.0166,-0.0168,0.9549,-0.0451,-0.0451,-0.0472,-0.0834,-0.0461,-0.0484,-0.0871,0.9932,-0.0385,0.0122,0.0127,0.0117,0,1,21.200757142857146,20.982343999999998,18.945832323232324,30.95984505067659,-0.189289491845809,-0.29074276562420664,0.0,0.012372621399793055,-0.016643345993127445
2025-05-15 04:00:00,20.8181,20.9746,20.6617,20.9562,5394600,0.0143,0.0142,0.9685,-0.0315,-0.0248,-0.0472,-0.0834,-0.0252,-0.0484,-0.0871,0.9932,-0.0248,0.0145,0.0127,0.0117,1,0,21.1245,20.982343999999998,18.945832323232324,30.95984505067659,-0.189289491845809,-0.29074276562420664,0.0,0.012372621399793055,0.014253425419979981
2025-05-16 04:00:00,20.9746,21.1587,20.8642,21.1495,7923100,0.0092,0.0092,0.9775,-0.0225,-0.0009,-0.0472,-0.0834,-0.0009,-0.0484,-0.0871,0.9932,-0.0158,0.0142,0.0127,0.0117,1,0,21.121871428571428,20.982343999999998,18.945832323232324,30.95984505067659,-0.189289491845809,-0.29074276562420664,0.0,0.012372621399793055,0.009224000534448162
