Date,Open,High,Low,Close,Volume,ret_1d,log_ret_1d,eq,cum_ret,ret_7d,ret_14d,ret_30d,log_ret_7d,log_ret_14d,log_ret_30d,roll_max,dd,vol_7d,vol_14d,vol_30d,up,down,MA7,MA25,MA99,RSI,MACD,MACD_signal,ADX,Volatility,returns
2025-04-07 04:00:00,45.45,48.29,44.46,46.67,20912300,-0.0148,-0.0149,0.9852,-0.0148,0.0302,0.0906,0.1028,0.0298,0.0868,0.0979,0.9852,0.0,0.0453,0.0362,0.0278,0,0,48.83857142857143,49.5888,49.63949494949495,69.6261105208268,0.7702268789765583,0.7802519180684621,0.0,0.03153751652163496,
2025-04-08 04:00:00,48.14,48.4,45.62,45.98,15435300,-0.0148,-0.0149,0.9852,-0.0148,0.0302,0.0906,0.1028,0.0298,0.0868,0.0979,0.9852,0.0,0.0453,0.0362,0.0278,0,1,48.83857142857143,49.5888,49.63949494949495,69.6261105208268,0.7702268789765583,0.7802519180684621,0.0,0.03153751652163496,-0.014784658238697346
2025-04-09 04:00:00,45.9,51.5,45.9,50.93,24598300,0.1077,0.1022,1.0913,0.0913,0.0302,0.0906,0.1028,0.0298,0.0868,0.0979,1.0913,0.0,0.0453,0.0362,0.0278,1,0,48.83857142857143,49.5888,49.63949494949495,69.6261105208268,0.7702268789765583,0.7802519180684621,0.0,0.03153751652163496,0.10765550239234467
2025-04-10 04:00:00,50.21,51.05,48.49,50.27,14339600,-0.013,-0.013,1.0771,0.0771,0.0302,0.0906,0.1028,0.0298,0.0868,0.0979,1.0913,-0.013,0.0453,0.0362,0.0278,0,1,48.83857142857143,49.5888,49.63949494949495,69.6261105208268,0.7702268789765583,0.7802519180684621,0.0,0.03153751652163496,-0.01295896328293733
2025-04-11 04:00:00,49.97,50.67,49.05,49.76,14465500,-0.0101,-0.0102,1.0662,0.0662,0.0302,0.0906,0.1028,0.0298,0.0868,0.0979,1.0913,-0.023,0.0453,0.0362,0.0278,0,1,48.83857142857143,49.5888,49.63949494949495,69.6261105208268,0.7702268789765583,0.7802519180684621,0.0,0.03153751652163496,-0.010145215834493793
2025-04-14 04:00:00,50.34,50.48,48.21,49.46,13965800,-0.006,-0.006,1.0598,0.0598,0.0302,0.0906,0.1028,0.0298,0.0868,0.0979,1.0913,-0.0289,0.0453,0.0362,0.0278,0,1,48.83857142857143,49.5888,49.63949494949495,69.6261105208268,0.7702268789765583,0.7802519180684621,0.0,0.03153751652163496,-0.006028938906752379
2025-04-15 04:00:00,49.63,49.93,48.73,48.8,9790800,-0.0133,-0.0134,1.0456,0.0456,0.0302,0.0906,0.1028,0.0298,0.0868,0.0979,1.0913,-0.0418,0.0453,0.0362,0.0278,0,1,48.83857142857143,49.5888,49.63949494949495,69.6261105208268,0.7702268789765583,0.7802519180684621,0.0,0.03153751652163496,-0.013344116457743693
2025-04-16 04:00:00,48.5,49.07,47.66,48.08,8604200,-0.0148,-0.0149,1.0302,0.0302,0.0302,0.0906,0.1028,0.0298,0.0868,0.0979,1.0913,-0.056,0.0453,0.0362,0.0278,0,1,49.04,49.5888,49.63949494949495,69.6261105208268,0.7702268789765583,0.7802519180684621,0.0,0.03153751652163496,-0.014754098360655665
2025-04-17 04:00:00,48.19,48.54,47.48,48.17,9359600,0.0019,0.0019,1.0321,0.0321,0.0476,0.0906,0.1028,0.0465,0.0868,0.0979,1.0913,-0.0542,0.0445,0.0362,0.0278,1,0,49.35285714285715,49.5888,49.63949494949495,69.6261105208268,0.7702268789765583,0.7802519180684621,0.0,0.03153751652163496,0.0018718801996673307
2025-04-21 04:00:00,47.84,47.84,45.21,46.53,15507700,-0.034,-0.0346,0.997,-0.003,-0.0864,0.0906,0.1028,-0.0904,0.0868,0.0979,1.0913,-0.0864,0.011,0.0362,0.0278,0,1,48.72428571428571,49.5888,49.63949494949495,69.6261105208268,0.7702268789765583,0.7802519180684621,0.0,0.03153751652163496,-0.03404608677600163
2025-04-22 04:00:00,46.95,47.43,46.37,47.1,14172800,0.0123,0.0122,1.0092,0.0092,-0.0631,0.0906,0.1028,-0.0651,0.0868,0.0979,1.0913,-0.0752,0.0145,0.0362,0.0278,1,0,48.271428571428565,49.5888,49.63949494949495,69.6261105208268,0.7702268789765583,0.7802519180684621,0.0,0.03153751652163496,0.012250161186331487
2025-04-23 04:00:00,48.87,49.7,48.22,48.76,22264200,0.0352,0.0346,1.0448,0.0448,-0.0201,0.0906,0.1028,-0.0203,0.0868,0.0979,1.0913,-0.0426,0.0221,0.0362,0.0278,1,0,48.128571428571426,49.5888,49.63949494949495,69.6261105208268,0.7702268789765583,0.7802519180684621,0.0,0.03153751652163496,0.03524416135881103
2025-04-24 04:00:00,49.2,50.61,48.4,49.54,29453300,0.016,0.0159,1.0615,0.0615,0.0016,0.0906,0.1028,0.0016,0.0868,0.0979,1.0913,-0.0273,0.0231,0.0362,0.0278,1,0,48.14,49.5888,49.63949494949495,69.6261105208268,0.7702268789765583,0.7802519180684621,0.0,0.03153751652163496,0.015996718621821282
2025-04-25 04:00:00,49.5,52.02,49.27,51.78,26671900,0.0452,0.0442,1.1095,0.1095,0.0611,0.0906,0.1028,0.0593,0.0868,0.0979,1.1095,0.0,0.0275,0.0362,0.0278,1,0,48.565714285714286,49.5888,49.63949494949495,69.6261105208268,0.7702268789765583,0.7802519180684621,0.0,0.03153751652163496,0.0452159870811466
2025-04-28 04:00:00,51.94,52.51,50.72,50.9,18142900,-0.017,-0.0171,1.0906,0.0906,0.0587,0.0906,0.1028,0.057,0.0868,0.0979,1.1095,-0.017,0.0278,0.0362,0.0278,0,1,48.96857142857143,49.5888,49.63949494949495,63.70924380639899,0.7702268789765583,0.7802519180684621,0.0,0.03153751652163496,-0.016994978756276646
2025-04-29 04:00:00,50.62,51.01,49.86,50.65,12111600,-0.0049,-0.0049,1.0853,0.0853,0.0515,0.1016,0.1028,0.0502,0.0967,0.0979,1.1095,-0.0218,0.0282,0.0358,0.0278,0,1,49.32285714285714,49.5888,49.63949494949495,62.09482184606869,0.7702268789765583,0.7802519180684621,0.0,0.03153751652163496,-0.004911591355599265
2025-04-30 04:00:00,49.81,50.54,49.13,50.52,13763500,-0.0026,-0.0026,1.0825,0.0825,0.0858,-0.0081,0.1028,0.0823,-0.0081,0.0979,1.1095,-0.0243,0.0224,0.0213,0.0278,0,1,49.892857142857146,49.5888,49.63949494949495,61.22598463795603,0.7702268789765583,0.7802519180684621,0.0,0.03153751652163496,-0.0025666337611055523
2025-05-01 04:00:00,50.72,50.98,50.12,50.32,11811400,-0.004,-0.004,1.0782,0.0782,0.0684,0.001,0.1028,0.0661,0.001,0.0979,1.1095,-0.0282,0.0232,0.021,0.0278,0,1,50.35285714285715,49.5888,49.63949494949495,59.83879076680508,0.7702268789765583,0.7802519180684621,0.0,0.03153751652163496,-0.003958828186856778
2025-05-02 04:00:00,50.95,51.78,50.87,51.56,9059000,0.0246,0.0243,1.1048,0.1048,0.0574,0.0362,0.1028,0.0558,0.0355,0.0979,1.1095,-0.0042,0.0215,0.0217,0.0278,1,0,50.75285714285714,49.5888,49.63949494949495,65.11599704713069,0.7702268789765583,0.7802519180684621,0.0,0.03153751652163496,0.024642289348171698
2025-05-05 04:00:00,51.05,51.12,49.98,50.01,11398700,-0.0301,-0.0305,1.0716,0.0716,0.0095,0.0111,0.1028,0.0094,0.0111,0.0979,1.1095,-0.0342,0.0254,0.0233,0.0278,0,1,50.82,49.5888,49.63949494949495,55.32908903991875,0.7702268789765583,0.7802519180684621,0.0,0.03153751652163496,-0.030062063615205692
2025-05-06 04:00:00,49.58,50.92,49.51,50.36,9758700,0.007,0.007,1.0791,0.0791,-0.0274,0.032,0.1028,-0.0278,0.0315,0.0979,1.1095,-0.0274,0.0173,0.023,0.0278,1,0,50.61714285714286,49.5888,49.63949494949495,56.90420921799506,0.7702268789765583,0.7802519180684621,0.0,0.03153751652163496,0.006998600279944034
2025-05-07 04:00:00,50.54,51.9,50.24,51.64,11358400,0.0254,0.0251,1.1065,0.1065,0.0145,0.074,0.1028,0.0144,0.0714,0.0979,1.1095,-0.0027,0.0192,0.0232,0.0278,1,0,50.722857142857144,49.5888,49.63949494949495,62.159240857347555,0.7702268789765583,0.7802519180684621,0.0,0.031540546997186975,0.025416997617156545
2025-05-08 04:00:00,51.7,52.17,51.36,51.45,12471700,-0.0037,-0.0037,1.1024,0.1024,0.0158,0.0681,0.1028,0.0157,0.0659,0.0979,1.1095,-0.0064,0.0192,0.0233,0.0278,0,1,50.83714285714286,49.5888,49.63949494949495,60.970764796246776,0.7702268789765583,0.7802519180684621,0.0,0.02065105763911185,-0.0036793183578620603
2025-05-09 04:00:00,51.27,51.27,49.41,49.72,16064200,-0.0336,-0.0342,1.0654,0.0654,-0.0158,0.0686,0.1028,-0.016,0.0663,0.0979,1.1095,-0.0398,0.0236,0.0233,0.0278,0,1,50.722857142857144,49.5888,49.63949494949495,51.34453645186353,0.7702268789765583,0.7802519180684621,0.0,0.021852999027293776,-0.0336248785228378
