Date,Open,High,Low,Close,Volume,ret_1d,log_ret_1d,eq,cum_ret,ret_7d,ret_14d,ret_30d,log_ret_7d,log_ret_14d,log_ret_30d,roll_max,dd,vol_7d,vol_14d,vol_30d,up,down,MA7,MA25,MA99,RSI,MACD,MACD_signal,ADX,Volatility,returns
2025-04-07 04:00:00,123.9876,127.516,118.789,119.4017,5985500,-0.0473,-0.0484,0.9527,-0.0473,-0.0271,0.0361,0.0187,-0.0274,0.0355,0.0186,0.9527,0.0,0.0329,0.0262,0.0221,0,0,117.97287142857144,121.35586799999999,132.56496464646466,58.587598575234246,1.0630561805008796,0.34179475318309327,0.0,0.02365268478863478,
2025-04-08 04:00:00,122.1296,122.1296,112.4537,113.7583,5445900,-0.0473,-0.0484,0.9527,-0.0473,-0.0271,0.0361,0.0187,-0.0274,0.0355,0.0186,0.9527,0.0,0.0329,0.0262,0.0221,0,1,117.97287142857144,121.35586799999999,132.56496464646466,58.587598575234246,1.0630561805008796,0.34179475318309327,0.0,0.02365268478863478,-0.04726398367862439
2025-04-09 04:00:00,112.2461,122.3569,109.1526,119.7477,5913000,0.0526,0.0513,1.0029,0.0029,-0.0271,0.0361,0.0187,-0.0274,0.0355,0.0186,1.0029,0.0,0.0329,0.0262,0.0221,1,0,117.97287142857144,121.35586799999999,132.56496464646466,58.587598575234246,1.0630561805008796,0.34179475318309327,0.0,0.02365268478863478,0.05265022420342058
2025-04-10 04:00:00,117.9093,118.5518,113.2839,116.496,3737900,-0.0272,-0.0275,0.9757,-0.0243,-0.0271,0.0361,0.0187,-0.0274,0.0355,0.0186,1.0029,-0.0272,0.0329,0.0262,0.0221,0,1,117.97287142857144,121.35586799999999,132.56496464646466,58.587598575234246,1.0630561805008796,0.34179475318309327,0.0,0.02365268478863478,-0.027154592530795996
2025-04-11 04:00:00,115.7745,118.6012,113.1653,118.3837,3642500,0.0162,0.0161,0.9915,-0.0085,-0.0271,0.0361,0.0187,-0.0274,0.0355,0.0186,1.0029,-0.0114,0.0329,0.0262,0.0221,1,0,117.97287142857144,121.35586799999999,132.56496464646466,58.587598575234246,1.0630561805008796,0.34179475318309327,0.0,0.02365268478863478,0.016203989836560906
2025-04-14 04:00:00,120.5581,121.5267,117.6326,119.6093,3605000,0.0104,0.0103,1.0017,0.0017,-0.0271,0.0361,0.0187,-0.0274,0.0355,0.0186,1.0029,-0.0012,0.0329,0.0262,0.0221,1,0,117.97287142857144,121.35586799999999,132.56496464646466,58.587598575234246,1.0630561805008796,0.34179475318309327,0.0,0.02365268478863478,0.010352776606914693
2025-04-15 04:00:00,119.125,120.9436,117.4745,118.4134,3102000,-0.01,-0.01,0.9917,-0.0083,-0.0271,0.0361,0.0187,-0.0274,0.0355,0.0186,1.0029,-0.0111,0.0329,0.0262,0.0221,0,1,117.97287142857144,121.35586799999999,132.56496464646466,58.587598575234246,1.0630561805008796,0.34179475318309327,0.0,0.02365268478863478,-0.009998386413096694
2025-04-16 04:00:00,117.8599,119.1151,115.3001,116.1698,4250200,-0.0189,-0.0191,0.9729,-0.0271,-0.0271,0.0361,0.0187,-0.0274,0.0355,0.0186,1.0029,-0.0299,0.0329,0.0262,0.0221,0,1,117.51117142857143,121.35586799999999,132.56496464646466,58.587598575234246,1.0630561805008796,0.34179475318309327,0.0,0.02365268478863478,-0.01894717996442974
2025-04-17 04:00:00,120.0046,121.5662,116.1698,119.8366,6395700,0.0316,0.0311,1.0036,0.0036,0.0534,0.0361,0.0187,0.0521,0.0355,0.0186,1.0036,0.0,0.0286,0.0262,0.0221,1,0,118.37950000000001,121.35586799999999,132.56496464646466,58.587598575234246,1.0630561805008796,0.34179475318309327,0.0,0.02365268478863478,0.03156414145500808
2025-04-21 04:00:00,118.957,119.7378,116.3774,119.3523,4313700,-0.004,-0.004,0.9996,-0.0004,-0.0033,0.0361,0.0187,-0.0033,0.0355,0.0186,1.0036,-0.004,0.0207,0.0262,0.0221,0,1,118.3230142857143,121.35586799999999,132.56496464646466,58.587598575234246,1.0630561805008796,0.34179475318309327,0.0,0.02365268478863478,-0.004041336286243147
2025-04-22 04:00:00,120.2616,123.8295,119.6291,123.5034,4427700,0.0348,0.0342,1.0344,0.0344,0.0602,0.0361,0.0187,0.0584,0.0355,0.0186,1.0344,0.0,0.0206,0.0262,0.0221,1,0,119.32407142857143,121.35586799999999,132.56496464646466,58.587598575234246,1.0630561805008796,0.34179475318309327,0.0,0.02365268478863478,0.034780226271299286
2025-04-23 04:00:00,125.5393,127.5753,123.029,123.3353,5367500,-0.0014,-0.0014,1.0329,0.0329,0.0418,0.0361,0.0187,0.041,0.0355,0.0186,1.0344,-0.0014,0.0206,0.0262,0.0221,0,1,120.03144285714286,121.35586799999999,132.56496464646466,58.587598575234246,1.0630561805008796,0.34179475318309327,0.0,0.02365268478863478,-0.0013610961317663817
2025-04-24 04:00:00,124.5609,125.0155,122.3668,124.5708,3310600,0.01,0.01,1.0433,0.0433,0.0415,0.0361,0.0187,0.0406,0.0355,0.0186,1.0433,0.0,0.0205,0.0262,0.0221,1,0,120.74022857142857,121.35586799999999,132.56496464646466,58.587598575234246,1.0630561805008796,0.34179475318309327,0.0,0.02365268478863478,0.010017407830523739
2025-04-25 04:00:00,124.0568,124.3138,122.0406,123.108,3588200,-0.0117,-0.0118,1.031,0.031,0.0396,0.0361,0.0187,0.0389,0.0355,0.0186,1.0433,-0.0117,0.0208,0.0262,0.0221,0,1,121.4108857142857,121.35586799999999,132.56496464646466,58.587598575234246,1.0630561805008796,0.34179475318309327,0.0,0.02365268478863478,-0.011742719802714574
2025-04-28 04:00:00,123.1278,124.4522,122.4063,123.7109,1934300,0.0049,0.0049,1.0361,0.0361,0.0649,0.0361,0.0187,0.0629,0.0355,0.0186,1.0433,-0.0069,0.0178,0.0262,0.0221,1,0,122.4881857142857,121.35586799999999,132.56496464646466,59.936365143231235,1.0630561805008796,0.34179475318309327,0.0,0.02365268478863478,0.004897325925203866
2025-04-29 04:00:00,122.7819,123.8394,122.1296,123.2958,2206600,-0.0034,-0.0034,1.0326,0.0326,0.0289,0.0838,0.0187,0.0285,0.0805,0.0186,1.0433,-0.0102,0.0152,0.0221,0.0221,0,1,122.98235714285714,121.35586799999999,132.56496464646466,58.523093055716174,1.0630561805008796,0.34179475318309327,0.0,0.02365268478863478,-0.003355403606311147
2025-04-30 04:00:00,122.1691,125.144,120.8645,124.8673,2748600,0.0127,0.0127,1.0458,0.0458,0.0462,0.0428,0.0187,0.0452,0.0419,0.0186,1.0458,0.0,0.015,0.0177,0.0221,1,0,123.77021428571427,121.35586799999999,132.56496464646466,62.160769069287845,1.0630561805008796,0.34179475318309327,0.0,0.02365268478863478,0.012745770739960305
2025-05-01 04:00:00,124.976,126.3201,123.5132,124.0865,2549600,-0.0063,-0.0063,1.0392,0.0392,0.0047,0.0652,0.0187,0.0047,0.0631,0.0186,1.0458,-0.0063,0.0089,0.0158,0.0221,0,1,123.85351428571428,121.35586799999999,132.56496464646466,59.37447139197425,1.0630561805008796,0.34179475318309327,0.0,0.02365268478863478,-0.0062530382253800365
2025-05-02 04:00:00,124.9689,126.9817,124.8995,126.2281,2469200,0.0173,0.0171,1.0572,0.0572,0.0235,0.0663,0.0187,0.0232,0.0642,0.0186,1.0572,0.0,0.0108,0.0158,0.0221,1,0,124.26677142857143,121.35586799999999,132.56496464646466,64.12446241012296,1.0630561805008796,0.34179475318309327,0.0,0.02365268478863478,0.017258928247633643
