Date,Open,High,Low,Close,Volume,ret_1d,log_ret_1d,eq,cum_ret,ret_7d,ret_14d,ret_30d,log_ret_7d,log_ret_14d,log_ret_30d,roll_max,dd,vol_7d,vol_14d,vol_30d,up,down,MA7,MA25,MA99,RSI,MACD,MACD_signal,ADX,Volatility,returns
2025-03-28 04:00:00,144.4904,145.1177,143.4847,143.6341,2423600,0.0019,0.0019,1.0019,0.0019,-0.0812,0.0094,0.0348,-0.0847,0.0094,0.0342,1.0019,0.0,0.0249,0.0243,0.0211,0,0,141.41074285714285,142.729556,151.07369393939393,51.45068232913992,1.8651507297827266,2.237796999496146,0.0,0.022448327870119168,
2025-03-31 04:00:00,143.5046,144.0622,142.4193,143.9029,4213500,0.0019,0.0019,1.0019,0.0019,-0.0812,0.0094,0.0348,-0.0847,0.0094,0.0342,1.0019,0.0,0.0249,0.0243,0.0211,1,0,141.41074285714285,142.729556,151.07369393939393,51.45068232913992,1.8651507297827266,2.237796999496146,0.0,0.022448327870119168,0.0018714218977249342
2025-04-01 04:00:00,144.3809,145.2074,143.6441,145.048,2278600,0.008,0.0079,1.0098,0.0098,-0.0812,0.0094,0.0348,-0.0847,0.0094,0.0342,1.0098,0.0,0.0249,0.0243,0.0211,1,0,141.41074285714285,142.729556,151.07369393939393,51.45068232913992,1.8651507297827266,2.237796999496146,0.0,0.022448327870119168,0.0079574490854597
2025-04-02 04:00:00,144.3809,144.9783,142.6881,144.2514,2021900,-0.0055,-0.0055,1.0043,0.0043,-0.0812,0.0094,0.0348,-0.0847,0.0094,0.0342,1.0098,-0.0055,0.0249,0.0243,0.0211,0,1,141.41074285714285,142.729556,151.07369393939393,51.45068232913992,1.8651507297827266,2.237796999496146,0.0,0.022448327870119168,-0.00549197507032162
2025-04-03 04:00:00,143.1163,146.4719,142.728,144.2315,4330500,-0.0001,-0.0001,1.0042,0.0042,-0.0812,0.0094,0.0348,-0.0847,0.0094,0.0342,1.0098,-0.0056,0.0249,0.0243,0.0211,0,1,141.41074285714285,142.729556,151.07369393939393,51.45068232913992,1.8651507297827266,2.237796999496146,0.0,0.022448327870119168,-0.00013795360045021354
2025-04-04 04:00:00,142.489,144.0722,134.4534,134.7621,4711800,-0.0657,-0.0679,0.9382,-0.0618,-0.0812,0.0094,0.0348,-0.0847,0.0094,0.0342,1.0098,-0.0709,0.0249,0.0243,0.0211,0,1,141.41074285714285,142.729556,151.07369393939393,51.45068232913992,1.8651507297827266,2.237796999496146,0.0,0.022448327870119168,-0.06565417401885165
2025-04-07 04:00:00,132.3923,136.1661,130.59,134.0452,5825100,-0.0053,-0.0053,0.9332,-0.0668,-0.0812,0.0094,0.0348,-0.0847,0.0094,0.0342,1.0098,-0.0759,0.0249,0.0243,0.0211,0,1,141.41074285714285,142.729556,151.07369393939393,51.45068232913992,1.8651507297827266,2.237796999496146,0.0,0.022448327870119168,-0.005319744943125815
2025-04-08 04:00:00,134.6825,136.2458,130.6,131.9641,3425700,-0.0155,-0.0156,0.9188,-0.0812,-0.0812,0.0094,0.0348,-0.0847,0.0094,0.0342,1.0098,-0.0902,0.0249,0.0243,0.0211,0,1,139.7436,142.729556,151.07369393939393,51.45068232913992,1.8651507297827266,2.237796999496146,0.0,0.022448327870119168,-0.015525360102413122
2025-04-09 04:00:00,131.2771,139.9897,131.2472,135.9968,5410100,0.0306,0.0301,0.9468,-0.0532,-0.0549,0.0094,0.0348,-0.0565,0.0094,0.0342,1.0098,-0.0624,0.0294,0.0243,0.0211,1,0,138.61415714285715,142.729556,151.07369393939393,51.45068232913992,1.8651507297827266,2.237796999496146,0.0,0.022448327870119168,0.030559068716416116
2025-04-10 04:00:00,135.5886,140.6867,134.8517,138.7948,3840900,0.0206,0.0204,0.9663,-0.0337,-0.0431,0.0094,0.0348,-0.0441,0.0094,0.0342,1.0098,-0.0431,0.0309,0.0243,0.0211,1,0,137.72084285714286,142.729556,151.07369393939393,51.45068232913992,1.8651507297827266,2.237796999496146,0.0,0.022448327870119168,0.02057401350620025
