Date,Open,High,Low,Close,Volume,ret_1d,log_ret_1d,eq,cum_ret,ret_7d,ret_14d,ret_30d,log_ret_7d,log_ret_14d,log_ret_30d,roll_max,dd,vol_7d,vol_14d,vol_30d,up,down,MA7,MA25,MA99,RSI,MACD,MACD_signal,ADX,Volatility,returns
2025-05-02 04:00:00,344.4936,346.5696,342.3381,345.6458,802300,0.0041,0.004,1.0041,0.0041,0.0578,0.0824,0.0613,0.0562,0.0792,0.0595,1.0041,0.0,0.0154,0.0179,0.0146,0,0,352.7608142857143,370.80818800000003,378.38616565656565,75.30647649082205,5.520032990515517,2.478621218386383,0.0,0.014980047099555058,
2025-05-05 04:00:00,346.1424,348.8045,341.9208,347.0464,789900,0.0041,0.004,1.0041,0.0041,0.0578,0.0824,0.0613,0.0562,0.0792,0.0595,1.0041,0.0,0.0154,0.0179,0.0146,1,0,352.7608142857143,370.80818800000003,378.38616565656565,75.30647649082205,5.520032990515517,2.478621218386383,0.0,0.014980047099555058,0.0040521250366705175
2025-05-06 04:00:00,347.2649,358.5292,343.8976,354.3175,1587000,0.021,0.0207,1.0251,0.0251,0.0578,0.0824,0.0613,0.0562,0.0792,0.0595,1.0251,0.0,0.0154,0.0179,0.0146,1,0,352.7608142857143,370.80818800000003,378.38616565656565,75.30647649082205,5.520032990515517,2.478621218386383,0.0,0.014980047099555058,0.02095137710692274
2025-05-07 04:00:00,353.7712,361.082,347.8311,358.5689,1984400,0.012,0.0119,1.0374,0.0374,0.0578,0.0824,0.0613,0.0562,0.0792,0.0595,1.0374,0.0,0.0154,0.0179,0.0146,1,0,352.7608142857143,370.80818800000003,378.38616565656565,75.30647649082205,5.520032990515517,2.478621218386383,0.0,0.014980047099555058,0.0119988428457527
2025-05-08 04:00:00,356.2942,361.529,351.3375,351.5561,1224500,-0.0196,-0.0198,1.0171,0.0171,0.0578,0.0824,0.0613,0.0562,0.0792,0.0595,1.0374,-0.0196,0.0154,0.0179,0.0146,0,1,352.7608142857143,370.80818800000003,378.38616565656565,75.30647649082205,5.520032990515517,2.478621218386383,0.0,0.014980047099555058,-0.01955774747893635
2025-05-09 04:00:00,351.6355,354.5459,350.0164,351.3375,979500,-0.0006,-0.0006,1.0165,0.0165,0.0578,0.0824,0.0613,0.0562,0.0792,0.0595,1.0374,-0.0202,0.0154,0.0179,0.0146,0,1,352.7608142857143,370.80818800000003,378.38616565656565,75.30647649082205,5.520032990515517,2.478621218386383,0.0,0.014980047099555058,-0.0006218068752044115
2025-05-12 04:00:00,352.6884,370.8761,352.3905,360.8535,1679400,0.0271,0.0267,1.044,0.044,0.0578,0.0824,0.0613,0.0562,0.0792,0.0595,1.044,0.0,0.0154,0.0179,0.0146,1,0,352.7608142857143,370.80818800000003,378.38616565656565,75.30647649082205,5.520032990515517,2.478621218386383,0.0,0.014980047099555058,0.027085067776710492
2025-05-13 04:00:00,360.0291,370.449,359.0358,365.6414,2203500,0.0133,0.0132,1.0578,0.0578,0.0578,0.0824,0.0613,0.0562,0.0792,0.0595,1.0578,0.0,0.0154,0.0179,0.0146,1,0,355.6173285714286,370.80818800000003,378.38616565656565,75.30647649082205,5.520032990515517,2.478621218386383,0.0,0.014980047099555058,0.013268265376392252
2025-05-14 04:00:00,365.542,369.6146,363.2375,365.0453,1798700,-0.0016,-0.0016,1.0561,0.0561,0.0519,0.0824,0.0613,0.0506,0.0792,0.0595,1.0578,-0.0016,0.0158,0.0179,0.0146,0,1,358.1886,370.80818800000003,378.38616565656565,75.30647649082205,5.520032990515517,2.478621218386383,0.0,0.014980047099555058,-0.0016302858483748794
2025-05-15 04:00:00,365.0453,383.1138,364.3103,382.9251,3047300,0.049,0.0478,1.1079,0.1079,0.0807,0.0824,0.0613,0.0776,0.0792,0.0595,1.1079,0.0,0.0221,0.0179,0.0146,1,0,362.2754,370.80818800000003,378.38616565656565,75.30647649082205,5.520032990515517,2.478621218386383,0.0,0.014980047099555058,0.04897967457737429
2025-05-16 04:00:00,383.8787,385.4978,378.4254,384.9316,1789700,0.0052,0.0052,1.1137,0.1137,0.0735,0.0824,0.0613,0.0709,0.0792,0.0595,1.1137,0.0,0.0222,0.0179,0.0146,1,0,366.0415,370.80818800000003,378.38616565656565,75.30647649082205,5.520032990515517,2.478621218386383,0.0,0.014980047099555058,0.0052399281217136995
2025-05-19 04:00:00,382.4086,385.7859,381.6835,384.3058,2041100,-0.0016,-0.0016,1.1118,0.1118,0.0932,0.0824,0.0613,0.0891,0.0792,0.0595,1.1137,-0.0016,0.019,0.0179,0.0146,0,1,370.72002857142854,370.80818800000003,378.38616565656565,75.30647649082205,5.520032990515517,2.478621218386383,0.0,0.014980047099555058,-0.0016257433788237075
2025-05-20 04:00:00,382.4583,385.5276,381.4351,383.4714,1361400,-0.0022,-0.0022,1.1094,0.1094,0.0915,0.0824,0.0613,0.0875,0.0792,0.0595,1.1137,-0.0038,0.0192,0.0179,0.0146,0,1,375.31058571428565,370.80818800000003,378.38616565656565,75.30647649082205,5.520032990515517,2.478621218386383,0.0,0.014980047099555058,-0.0021711876323489143
2025-05-21 04:00:00,379.806,384.1369,378.4551,379.2597,1118200,-0.011,-0.011,1.0972,0.0972,0.051,0.0824,0.0613,0.0497,0.0792,0.0595,1.1137,-0.0147,0.0198,0.0179,0.0146,0,1,377.9400428571429,370.80818800000003,378.38616565656565,75.30647649082205,5.520032990515517,2.478621218386383,0.0,0.014980047099555058,-0.010983087656602275
2025-05-22 04:00:00,376.3494,380.9683,372.2072,374.1243,1250400,-0.0135,-0.0136,1.0824,0.0824,0.0232,0.0824,0.0613,0.0229,0.0792,0.0595,1.1137,-0.0281,0.021,0.0179,0.0146,0,1,379.1518857142857,370.80818800000003,378.38616565656565,65.97705074929053,5.520032990515517,2.478621218386383,0.0,0.014980047099555058,-0.013540589733103792
2025-05-23 04:00:00,372.0582,374.9388,371.1145,374.0746,1138200,-0.0001,-0.0001,1.0822,0.0822,0.0247,0.0779,0.0613,0.0244,0.075,0.0595,1.1137,-0.0282,0.021,0.018,0.0146,0,1,380.4417857142857,370.80818800000003,378.38616565656565,65.89197184582792,5.520032990515517,2.478621218386383,0.0,0.014980047099555058,-0.00013284354959042233
2025-05-27 04:00:00,377.2235,378.4055,374.6706,376.2798,996900,0.0059,0.0059,1.0886,0.0886,-0.0174,0.062,0.0613,-0.0175,0.0601,0.0595,1.1137,-0.0225,0.0074,0.0174,0.0146,1,0,379.4924571428572,370.80818800000003,378.38616565656565,67.87164611739621,5.520032990515517,2.478621218386383,0.0,0.014980047099555058,0.0058950808207776095
2025-05-28 04:00:00,374.4521,379.7862,374.4322,375.9123,921100,-0.001,-0.001,1.0876,0.0876,-0.0234,0.0484,0.0613,-0.0237,0.0472,0.0595,1.1137,-0.0234,0.0067,0.0173,0.0146,0,1,378.20398571428575,370.80818800000003,378.38616565656565,67.17193459519785,5.520032990515517,2.478621218386383,0.0,0.014980047099555058,-0.0009766668314377114
2025-05-29 04:00:00,380.0544,383.6304,375.6441,376.1208,1449500,0.0006,0.0006,1.0882,0.0882,-0.0213,0.0699,0.0613,-0.0215,0.0675,0.0595,1.1137,-0.0229,0.0068,0.016,0.0146,1,0,377.03470000000004,370.80818800000003,378.38616565656565,67.37742064269574,5.520032990515517,2.478621218386383,0.0,0.014980047099555058,0.0005546506459084277
2025-05-30 04:00:00,375.0978,382.1206,372.5052,378.8426,2556400,0.0072,0.0072,1.096,0.096,-0.0121,0.0783,0.0613,-0.0121,0.0754,0.0595,1.1137,-0.0158,0.0079,0.016,0.0146,1,0,376.3734428571429,370.80818800000003,378.38616565656565,70.0159513689476,5.520032990515517,2.478621218386383,0.0,0.014980047099555058,0.007236504867585092
2025-06-02 04:00:00,377.74,379.6571,375.1474,379.6074,1066900,0.002,0.002,1.0983,0.0983,0.0009,0.052,0.0613,0.0009,0.0507,0.0595,1.1137,-0.0138,0.0068,0.0147,0.0146,1,0,376.4231142857143,370.80818800000003,378.38616565656565,70.73227483881752,5.520032990515517,2.478621218386383,0.0,0.014980047099555058,0.0020187803589142295
2025-06-03 04:00:00,378.9419,382.2199,376.3593,380.5014,1220800,0.0024,0.0024,1.1008,0.1008,0.017,0.0406,0.0613,0.0169,0.0398,0.0595,1.1137,-0.0115,0.0031,0.0145,0.0146,1,0,377.3341285714286,370.80818800000003,378.38616565656565,71.58677807826277,5.520032990515517,2.478621218386383,0.0,0.014989321896647501,0.002355064732668666
2025-06-04 04:00:00,382.5377,383.6602,378.9121,379.1108,943000,-0.0037,-0.0037,1.0968,0.0968,0.0135,0.0385,0.0613,0.0134,0.0378,0.0595,1.1137,-0.0151,0.0038,0.0145,0.0146,0,1,378.05358571428576,370.80818800000003,378.38616565656565,68.24890496993449,5.520032990515517,2.478621218386383,0.0,0.01459123823269939,-0.003654651467773884
2025-06-05 04:00:00,380.2829,381.7232,376.7069,378.9518,1058700,-0.0004,-0.0004,1.0964,0.0964,0.0071,-0.0104,0.0613,0.0071,-0.0104,0.0595,1.1137,-0.0155,0.0034,0.0058,0.0146,0,1,378.4353,370.80818800000003,378.38616565656565,67.8592986834919,5.520032990515517,2.478621218386383,0.0,0.014473705533187735,-0.0004194024543747732
2025-06-06 04:00:00,378.8028,383.978,378.187,381.7729,619600,0.0074,0.0074,1.1045,0.1045,0.0156,-0.0082,0.0613,0.0155,-0.0082,0.0595,1.1137,-0.0082,0.004,0.006,0.0146,1,0,379.27252857142855,370.80818800000003,378.38616565656565,71.02033620421868,5.520032990515517,2.478621218386383,0.0,0.013498459176899284,0.007444482385358775
2025-06-09 04:00:00,379.3194,379.3194,353.8705,370.5186,2014600,-0.0295,-0.0299,1.072,0.072,-0.0149,-0.0359,0.0613,-0.015,-0.0365,0.0595,1.1137,-0.0374,0.0127,0.0098,0.0146,0,1,378.47221428571436,371.8031,378.38616565656565,49.92532047962186,5.520032990515517,2.478621218386383,0.0,0.015444770453408503,-0.02947904369325327
2025-06-10 04:00:00,364.648,366.6247,355.7975,362.4826,1915000,-0.0217,-0.0219,1.0487,0.0487,-0.0432,-0.0547,0.0613,-0.0441,-0.0563,0.0595,1.1137,-0.0583,0.0138,0.0111,0.0146,0,1,376.1350714285714,372.420548,378.38616565656565,40.642435341136405,3.9938161770520537,2.478621218386383,0.0,0.015253374811479311,-0.021688519820597385
2025-06-11 04:00:00,363.1083,368.0352,361.519,365.1347,1026700,0.0073,0.0073,1.0564,0.0564,-0.0381,-0.0372,0.0613,-0.0389,-0.038,0.0595,1.1137,-0.0514,0.0145,0.0112,0.0146,1,0,374.0675428571429,372.853236,378.38616565656565,44.32187247926913,2.9641122214661095,2.478621218386383,47.05993105443452,0.015044387599843907,0.007316489122512371
2025-06-12 04:00:00,365.5917,369.1875,363.7044,369.1875,787900,0.0111,0.011,1.0681,0.0681,-0.0297,-0.0132,0.0613,-0.0302,-0.0133,0.0595,1.1137,-0.0409,0.0156,0.0113,0.0146,1,0,372.45127142857143,373.27797999999996,378.38616565656565,49.475976745115815,2.446885336360708,2.478621218386383,43.75482080612516,0.01523817242516635,0.011099465484929238
2025-06-13 04:00:00,366.6545,372.3065,365.3533,368.7007,872300,-0.0013,-0.0013,1.0667,0.0667,-0.0275,-0.0144,0.0613,-0.0278,-0.0145,0.0595,1.1137,-0.0422,0.0156,0.0113,0.0146,0,1,370.9641142857143,373.9637639999999,378.38616565656565,48.890548637575996,1.9749328157071204,2.478621218386383,41.09992681953076,0.010145816155125052,-0.001318571186727624
2025-06-16 04:00:00,369.8552,372.2936,349.0744,366.8396,2140000,-0.005,-0.0051,1.0613,0.0613,-0.032,-0.0251,0.0613,-0.0325,-0.0254,0.0595,1.1137,-0.047,0.0156,0.0112,0.0146,0,1,369.2338,374.583848,378.38616565656565,46.61937936580466,1.4341992702866264,2.478621218386383,39.57621753808603,0.010028002200967476,-0.005047725702717609
2025-06-17 04:00:00,363.2368,370.8704,359.5743,370.6813,1334100,0.0105,0.0104,1.0724,0.0724,-0.0291,-0.0139,0.0681,-0.0295,-0.014,0.0659,1.1137,-0.037,0.016,0.0117,0.0147,1,0,367.6492857142857,374.97696,378.38616565656565,51.61587910775656,1.300663879768706,2.478621218386383,38.161344633887346,0.010431151836491341,0.010472424460172824
2025-06-18 04:00:00,370.7411,378.7528,369.1188,375.0704,1374300,0.0118,0.0118,1.0851,0.0851,0.0123,-0.0028,0.0586,0.0122,-0.0028,0.0569,1.1137,-0.0256,0.0123,0.0122,0.0144,1,0,368.29954285714285,375.35411999999997,378.38616565656565,56.61257417129081,1.5313473899923338,2.478621218386383,35.80450057215378,0.010863042166741728,0.01184062967298316
2025-06-20 04:00:00,373.9358,377.5585,371.9553,375.7073,4238400,0.0017,0.0017,1.087,0.087,0.0365,-0.0083,0.0478,0.0358,-0.0083,0.0467,1.1137,-0.024,0.0067,0.012,0.0143,1,0,370.1887857142857,375.7806,378.38616565656565,57.30165706546036,1.7454379191990483,2.478621218386383,33.61600251482975,0.010620146404286233,0.0016980812135534151
