Date,Open,High,Low,Close,Volume,ret_1d,log_ret_1d,eq,cum_ret,ret_7d,ret_14d,ret_30d,log_ret_7d,log_ret_14d,log_ret_30d,roll_max,dd,vol_7d,vol_14d,vol_30d,up,down,MA7,MA25,MA99,RSI,MACD,MACD_signal,ADX,Volatility,returns
2025-04-03 04:00:00,103.4856,105.6051,101.5761,101.776,338769400,-0.0736,-0.0764,0.9264,-0.0736,0.0875,0.0455,0.3301,0.0839,0.0445,0.2852,0.9264,0.0,0.0864,0.0662,0.0479,0,0,103.24425714285714,107.266332,144.71167676767678,49.66453535755363,3.494429428390461,6.569265933835703,0.0,0.05612691405932945,
2025-04-04 04:00:00,98.8867,100.1064,92.0883,94.2878,532273800,-0.0736,-0.0764,0.9264,-0.0736,0.0875,0.0455,0.3301,0.0839,0.0445,0.2852,0.9264,0.0,0.0864,0.0662,0.0479,0,1,103.24425714285714,107.266332,144.71167676767678,49.66453535755363,3.494429428390461,6.569265933835703,0.0,0.05612691405932945,-0.07357530262537326
2025-04-07 04:00:00,87.4394,101.726,86.5996,97.617,611041300,0.0353,0.0347,0.9591,-0.0409,0.0875,0.0455,0.3301,0.0839,0.0445,0.2852,0.9591,0.0,0.0864,0.0662,0.0479,1,0,103.24425714285714,107.266332,144.71167676767678,49.66453535755363,3.494429428390461,6.569265933835703,0.0,0.05612691405932945,0.035308915893678794
2025-04-08 04:00:00,103.7855,105.8251,94.4377,96.2773,476243400,-0.0137,-0.0138,0.946,-0.054,0.0875,0.0455,0.3301,0.0839,0.0445,0.2852,0.9591,-0.0137,0.0864,0.0662,0.0479,0,1,103.24425714285714,107.266332,144.71167676767678,49.66453535755363,3.494429428390461,6.569265933835703,0.0,0.05612691405932945,-0.01372404396775162
2025-04-09 04:00:00,98.8667,115.0729,97.507,114.3031,612918300,0.1872,0.1716,1.1231,0.1231,0.0875,0.0455,0.3301,0.0839,0.0445,0.2852,1.1231,0.0,0.0864,0.0662,0.0479,1,0,103.24425714285714,107.266332,144.71167676767678,49.66453535755363,3.494429428390461,6.569265933835703,0.0,0.05612691405932945,0.18722793431058005
2025-04-10 04:00:00,109.3442,110.8339,99.1266,107.5447,437812400,-0.0591,-0.0609,1.0567,0.0567,0.0875,0.0455,0.3301,0.0839,0.0445,0.2852,1.1231,-0.0591,0.0864,0.0662,0.0479,0,1,103.24425714285714,107.266332,144.71167676767678,49.66453535755363,3.494429428390461,6.569265933835703,0.0,0.05612691405932945,-0.059127005304318025
2025-04-11 04:00:00,108.4744,111.5237,107.4547,110.9039,313417300,0.0312,0.0308,1.0897,0.0897,0.0875,0.0455,0.3301,0.0839,0.0445,0.2852,1.1231,-0.0297,0.0864,0.0662,0.0479,1,0,103.24425714285714,107.266332,144.71167676767678,49.66453535755363,3.494429428390461,6.569265933835703,0.0,0.05612691405932945,0.03123538398451986
2025-04-14 04:00:00,114.0831,114.2631,109.0443,110.6839,264705000,-0.002,-0.002,1.0875,0.0875,0.0875,0.0455,0.3301,0.0839,0.0445,0.2852,1.1231,-0.0317,0.0864,0.0662,0.0479,0,1,104.51681428571429,107.266332,144.71167676767678,49.66453535755363,3.494429428390461,6.569265933835703,0.0,0.05612691405932945,-0.0019836994010129505
2025-04-15 04:00:00,110.9439,113.5932,110.474,112.1736,228966900,0.0135,0.0134,1.1022,0.1022,0.1897,0.0455,0.3301,0.1737,0.0445,0.2852,1.1231,-0.0186,0.0773,0.0662,0.0479,1,0,107.07192857142857,107.266332,144.71167676767678,49.66453535755363,3.494429428390461,6.569265933835703,0.0,0.05612691405932945,0.013459048696332632
2025-04-16 04:00:00,104.5254,106.7648,100.4263,104.4654,397016900,-0.0687,-0.0712,1.0264,0.0264,0.0702,0.0455,0.3301,0.0678,0.0445,0.2852,1.1231,-0.0861,0.0852,0.0662,0.0479,0,1,108.05027142857143,107.266332,144.71167676767678,49.66453535755363,3.494429428390461,6.569265933835703,0.0,0.05612691405932945,-0.06871670339545122
2025-04-17 04:00:00,104.4254,104.4454,100.0264,101.4661,292517500,-0.0287,-0.0291,0.997,-0.003,0.0539,0.0455,0.3301,0.0525,0.0445,0.2852,1.1231,-0.1123,0.0861,0.0662,0.0479,0,1,108.79152857142856,107.266332,144.71167676767678,49.66453535755363,3.494429428390461,6.569265933835703,0.0,0.05612691405932945,-0.02871094161320409
2025-04-21 04:00:00,98.7467,99.4166,95.0176,96.8872,288501100,-0.0451,-0.0462,0.952,-0.048,-0.1524,0.0455,0.3301,-0.1653,0.0445,0.2852,1.1231,-0.1524,0.0379,0.0662,0.0479,0,1,106.30354285714284,107.266332,144.71167676767678,49.66453535755363,3.494429428390461,6.569265933835703,0.0,0.05612691405932945,-0.04512738737371391
2025-04-22 04:00:00,98.7567,99.7865,97.2571,98.8667,241004800,0.0204,0.0202,0.9714,-0.0286,-0.0807,0.0455,0.3301,-0.0841,0.0445,0.2852,1.1231,-0.135,0.0371,0.0662,0.0479,1,0,105.06382857142856,107.266332,144.71167676767678,49.66453535755363,3.494429428390461,6.569265933835703,0.0,0.05612691405932945,0.020430975402323304
2025-04-23 04:00:00,104.4954,104.7753,101.996,102.6858,247526000,0.0386,0.0379,1.0089,0.0089,-0.0741,0.0455,0.3301,-0.077,0.0445,0.2852,1.1231,-0.1016,0.0386,0.0662,0.0479,1,0,103.88981428571428,107.266332,144.71167676767678,49.66453535755363,3.494429428390461,6.569265933835703,0.0,0.05612691405932945,0.03862877996332448
2025-04-24 04:00:00,103.4556,106.5149,103.0857,106.4049,220815000,0.0362,0.0356,1.0455,0.0455,-0.0387,0.0455,0.3301,-0.0394,0.0445,0.2852,1.1231,-0.0691,0.0425,0.0662,0.0479,1,0,103.27852857142857,107.266332,144.71167676767678,54.343347735090546,3.494429428390461,6.569265933835703,0.0,0.05612691405932945,0.036218250235183325
2025-04-25 04:00:00,106.8248,111.8936,105.7051,110.9839,251064700,0.043,0.0421,1.0905,0.0905,-0.0106,0.1771,0.3301,-0.0107,0.163,0.2852,1.1231,-0.029,0.0459,0.0628,0.0479,1,0,103.10857142857144,107.266332,144.71167676767678,59.352999337457504,3.494429428390461,6.569265933835703,0.0,0.05612691405932945,0.04303373246908748
2025-04-28 04:00:00,109.6642,110.344,105.995,108.7044,207708500,-0.0205,-0.0208,1.0681,0.0681,0.0406,0.1136,0.3301,0.0398,0.1076,0.2852,1.1231,-0.049,0.0367,0.0631,0.0479,0,1,103.71414285714286,107.266332,144.71167676767678,56.05556733538037,3.494429428390461,6.569265933835703,0.0,0.05612691405932945,-0.020539015118409054
2025-04-29 04:00:00,107.6446,110.174,107.4147,108.9943,170444300,0.0027,0.0027,1.0709,0.0709,0.0742,0.1321,0.3301,0.0716,0.1241,0.2852,1.1231,-0.0464,0.0335,0.0628,0.0479,1,0,104.7896,107.266332,144.71167676767678,56.387414653836736,3.494429428390461,6.569265933835703,0.0,0.05612691405932945,0.0026668653706749534
2025-04-30 04:00:00,104.4454,108.8943,104.0555,108.8943,235044600,-0.0009,-0.0009,1.0699,0.0699,0.1239,-0.0473,0.3301,0.1168,-0.0485,0.2852,1.1231,-0.0473,0.024,0.0368,0.0479,0,1,106.5049,107.266332,144.71167676767678,56.22967659053364,3.494429428390461,6.569265933835703,0.0,0.05612691405932945,-0.000917479170929103
2025-05-01 04:00:00,113.0534,114.9129,111.2738,111.5837,236121500,0.0247,0.0244,1.0964,0.0964,0.1286,0.0376,0.3301,0.121,0.0369,0.2852,1.1231,-0.0238,0.0242,0.0336,0.0479,1,0,108.32161428571429,107.266332,144.71167676767678,59.51017830939648,3.494429428390461,6.569265933835703,0.0,0.05612691405932945,0.02469734412177682
2025-05-02 04:00:00,114.1531,115.3728,113.3433,114.473,190194800,0.0259,0.0256,1.1248,0.1248,0.1148,0.0322,0.3301,0.1087,0.0317,0.2852,1.1248,0.0,0.0228,0.0333,0.0479,1,0,110.0055,107.266332,144.71167676767678,62.74100437591843,3.494429428390461,6.569265933835703,0.0,0.05612691405932945,0.02589356689193867
2025-05-05 04:00:00,112.8834,114.643,112.6335,113.7932,133163200,-0.0059,-0.006,1.1181,0.1181,0.0694,0.0281,0.3301,0.0671,0.0277,0.2852,1.1248,-0.0059,0.0221,0.0334,0.0479,0,1,111.06097142857142,107.266332,144.71167676767678,61.497637334878384,3.494429428390461,6.569265933835703,0.0,0.05294362508096281,-0.005938518253212566
2025-05-06 04:00:00,111.4537,114.713,110.7939,113.5133,158525600,-0.0025,-0.0025,1.1153,0.1153,0.0228,0.0119,0.3301,0.0225,0.0119,0.2852,1.1248,-0.0084,0.0167,0.0333,0.0479,0,1,111.42231428571428,107.266332,144.71167676767678,60.96194782640177,3.494429428390461,6.569265933835703,0.0,0.05269267294244281,-0.002459725185687711
2025-05-07 04:00:00,113.0234,117.6523,112.2536,117.0324,206758800,0.031,0.0305,1.1499,0.1499,0.0766,0.1203,0.3301,0.0738,0.1136,0.2852,1.1499,0.0,0.0158,0.0272,0.0479,1,0,112.61202857142857,107.266332,144.71167676767678,65.0804282979634,3.494429428390461,6.569265933835703,0.0,0.05263493585193317,0.031001653550729147
2025-05-08 04:00:00,118.2222,118.6521,115.8227,117.3424,198428100,0.0026,0.0026,1.1529,0.1529,0.0766,0.1565,0.3301,0.0738,0.1454,0.2852,1.1529,0.0,0.0158,0.0251,0.0479,1,0,113.80461428571428,107.266332,144.71167676767678,65.42645337393728,3.494429428390461,6.569265933835703,0.0,0.03241688851995053,0.0026488391248919996
2025-05-09 04:00:00,117.3224,118.2022,115.1829,116.6225,132972200,-0.0061,-0.0062,1.1459,0.1459,0.071,0.2037,0.3301,0.0686,0.1854,0.2852,1.1529,-0.0061,0.0165,0.0201,0.0479,0,1,114.90864285714285,107.86019200000001,144.71167676767678,63.844273780677966,3.494429428390461,6.569265933835703,0.0,0.02917696304200582,-0.006135037292572809
2025-05-12 04:00:00,121.9413,122.971,120.2517,122.971,225023300,0.0544,0.053,1.2083,0.2083,0.1021,0.2438,0.3301,0.0972,0.2182,0.2852,1.2083,0.0,0.0233,0.0229,0.0479,1,0,116.5354,109.00752,144.71167676767678,70.59698148122428,4.060377312116486,6.569265933835703,0.0,0.030717708180207998,0.05443632232202189
2025-05-13 04:00:00,124.9506,131.1891,124.4407,129.8994,330430100,0.0563,0.0548,1.2763,0.2763,0.1348,0.265,0.3301,0.1264,0.2351,0.2852,1.2763,0.0,0.0282,0.0247,0.0479,1,0,118.73917142857144,110.298816,144.71167676767678,75.88941211252005,5.010204545097096,6.569265933835703,7.90456071255749,0.032663894537311354,0.05634173910922091
2025-05-14 04:00:00,133.1686,135.4081,131.649,135.3081,281180800,0.0416,0.0408,1.3295,0.3295,0.1891,0.2716,0.3301,0.1732,0.2403,0.2852,1.3295,0.0,0.027,0.025,0.0479,1,0,121.81272857142858,111.860048,144.71167676767678,79.05838201003613,6.128738080394186,6.569265933835703,10.084231570215527,0.03348440843600918,0.04163760571642339
2025-05-15 04:00:00,134.2584,136.2679,132.6287,134.7982,226632600,-0.0038,-0.0038,1.3245,0.3245,0.1875,0.2146,0.3301,0.1719,0.1944,0.2852,1.3295,-0.0038,0.0273,0.0245,0.0479,0,1,124.85342857142858,112.67985200000001,144.71167676767678,78.01731634583297,6.89456306582187,6.569265933835703,12.193036717711092,0.028182812796993823,-0.0037684366272232594
2025-05-16 04:00:00,136.1879,136.3179,133.4286,135.3681,226542500,0.0042,0.0042,1.3301,0.3301,0.1567,0.2453,0.3301,0.1455,0.2194,0.2852,1.3301,0.0,0.0282,0.0226,0.0479,1,0,127.47281428571429,113.792788,144.71167676767678,78.36030493060471,7.461459985278651,6.569265933835703,14.156416481950727,0.026517863084451893,0.0042278012614411775
2025-05-19 04:00:00,132.3588,135.838,132.3588,135.5381,193154600,0.0013,0.0013,1.3317,0.3317,0.1551,0.2435,0.4375,0.1442,0.218,0.3629,1.3317,0.0,0.0283,0.0227,0.0452,1,0,130.0722,114.778156,144.71167676767678,78.46822784864013,7.8341403639381895,6.569265933835703,15.709741476245105,0.022758215363469076,0.001255835015782747
