Date,Open,High,Low,Close,Volume,ret_1d,log_ret_1d,eq,cum_ret,ret_7d,ret_14d,ret_30d,log_ret_7d,log_ret_14d,log_ret_30d,roll_max,dd,vol_7d,vol_14d,vol_30d,up,down,MA7,MA25,MA99,RSI,MACD,MACD_signal,ADX,Volatility,returns
2025-05-02 04:00:00,183.9934,184.9904,180.17,183.9535,1006080,0.0067,0.0066,1.0067,0.0067,-0.0014,0.0557,0.0669,-0.0014,0.0543,0.0648,1.0067,0.0,0.0092,0.0109,0.0097,0,0,185.72244285714285,191.55758000000003,189.0577383838384,77.1286721580736,2.2571129178781177,1.7857739994716864,0.0,0.009625295959008625,
2025-05-05 04:00:00,184.442,186.0771,183.3155,185.1798,458869,0.0067,0.0066,1.0067,0.0067,-0.0014,0.0557,0.0669,-0.0014,0.0543,0.0648,1.0067,0.0,0.0092,0.0109,0.0097,1,0,185.72244285714285,191.55758000000003,189.0577383838384,77.1286721580736,2.2571129178781177,1.7857739994716864,0.0,0.009625295959008625,0.006666358617802848
2025-05-06 04:00:00,184.6514,186.2665,184.5617,185.449,312453,0.0015,0.0015,1.0081,0.0081,-0.0014,0.0557,0.0669,-0.0014,0.0543,0.0648,1.0081,0.0,0.0092,0.0109,0.0097,1,0,185.72244285714285,191.55758000000003,189.0577383838384,77.1286721580736,2.2571129178781177,1.7857739994716864,0.0,0.009625295959008625,0.001453722274243896
2025-05-07 04:00:00,185.5886,188.7091,185.5886,187.9913,509788,0.0137,0.0136,1.022,0.022,-0.0014,0.0557,0.0669,-0.0014,0.0543,0.0648,1.022,0.0,0.0092,0.0109,0.0097,1,0,185.72244285714285,191.55758000000003,189.0577383838384,77.1286721580736,2.2571129178781177,1.7857739994716864,0.0,0.009625295959008625,0.013708890314857447
2025-05-08 04:00:00,188.1807,188.6045,186.2366,186.4659,875220,-0.0081,-0.0081,1.0137,0.0137,-0.0014,0.0557,0.0669,-0.0014,0.0543,0.0648,1.022,-0.0081,0.0092,0.0109,0.0097,0,1,185.72244285714285,191.55758000000003,189.0577383838384,77.1286721580736,2.2571129178781177,1.7857739994716864,0.0,0.009625295959008625,-0.008114205285031706
2025-05-09 04:00:00,186.9345,187.0741,185.3792,186.8248,394142,0.0019,0.0019,1.0156,0.0156,-0.0014,0.0557,0.0669,-0.0014,0.0543,0.0648,1.022,-0.0062,0.0092,0.0109,0.0097,1,0,185.72244285714285,191.55758000000003,189.0577383838384,77.1286721580736,2.2571129178781177,1.7857739994716864,0.0,0.009625295959008625,0.0019247487074043335
2025-05-12 04:00:00,187.6623,187.9514,181.2318,184.1928,709441,-0.0141,-0.0142,1.0013,0.0013,-0.0014,0.0557,0.0669,-0.0014,0.0543,0.0648,1.022,-0.0202,0.0092,0.0109,0.0097,0,1,185.72244285714285,191.55758000000003,189.0577383838384,77.1286721580736,2.2571129178781177,1.7857739994716864,0.0,0.009625295959008625,-0.014088065396028804
2025-05-13 04:00:00,183.9236,185.5985,183.3454,183.7043,512590,-0.0027,-0.0027,0.9986,-0.0014,-0.0014,0.0557,0.0669,-0.0014,0.0543,0.0648,1.022,-0.0228,0.0092,0.0109,0.0097,0,1,185.68684285714286,191.55758000000003,189.0577383838384,77.1286721580736,2.2571129178781177,1.7857739994716864,0.0,0.009625295959008625,-0.0026521123518401524
2025-05-14 04:00:00,183.7142,184.8907,182.9366,184.5417,517218,0.0046,0.0045,1.0032,0.0032,-0.0034,0.0557,0.0669,-0.0035,0.0543,0.0648,1.022,-0.0183,0.009,0.0109,0.0097,1,0,185.59568571428574,191.55758000000003,189.0577383838384,77.1286721580736,2.2571129178781177,1.7857739994716864,0.0,0.009625295959008625,0.004558412622894581
2025-05-15 04:00:00,185.4669,190.3279,185.3969,189.6878,626103,0.0279,0.0275,1.0312,0.0312,0.0229,0.0557,0.0669,0.0226,0.0543,0.0648,1.0312,0.0,0.014,0.0109,0.0097,1,0,186.20122857142857,191.55758000000003,189.0577383838384,77.1286721580736,2.2571129178781177,1.7857739994716864,0.0,0.009625295959008625,0.027885838268532304
2025-05-16 04:00:00,190.948,191.4581,189.1627,191.2681,530320,0.0083,0.0083,1.0398,0.0398,0.0174,0.0557,0.0669,0.0173,0.0543,0.0648,1.0398,0.0,0.0135,0.0109,0.0097,1,0,186.66934285714288,191.55758000000003,189.0577383838384,77.1286721580736,2.2571129178781177,1.7857739994716864,0.0,0.009625295959008625,0.008331057664225039
2025-05-19 04:00:00,190.718,194.1787,190.693,194.0186,337556,0.0144,0.0143,1.0547,0.0547,0.0405,0.0557,0.0669,0.0397,0.0543,0.0648,1.0547,0.0,0.0132,0.0109,0.0097,1,0,187.7483,191.55758000000003,189.0577383838384,77.1286721580736,2.2571129178781177,1.7857739994716864,0.0,0.009625295959008625,0.014380338383661373
2025-05-20 04:00:00,194.6588,196.3041,194.1186,196.109,804873,0.0108,0.0107,1.0661,0.0661,0.0497,0.0557,0.0669,0.0485,0.0543,0.0648,1.0661,0.0,0.0132,0.0109,0.0097,1,0,189.0746142857143,191.55758000000003,189.0577383838384,77.1286721580736,2.2571129178781177,1.7857739994716864,0.0,0.009625295959008625,0.010774224739277694
2025-05-21 04:00:00,195.4989,196.2391,194.6188,195.2089,555318,-0.0046,-0.0046,1.0612,0.0612,0.0598,0.0557,0.0669,0.0581,0.0543,0.0648,1.0661,-0.0046,0.011,0.0109,0.0097,0,1,190.64834285714284,191.55758000000003,189.0577383838384,77.1286721580736,2.2571129178781177,1.7857739994716864,0.0,0.009625295959008625,-0.004589794451045126
2025-05-22 04:00:00,195.0888,195.4539,192.7934,194.2087,408814,-0.0051,-0.0051,1.0557,0.0557,0.0572,0.0557,0.0669,0.0556,0.0543,0.0648,1.0661,-0.0097,0.0114,0.0109,0.0097,0,1,192.14897142857143,191.55758000000003,189.0577383838384,72.14054104853787,2.2571129178781177,1.7857739994716864,0.0,0.009625295959008625,-0.005123741796608683
2025-05-23 04:00:00,194.2687,195.599,193.6252,195.1589,434486,0.0049,0.0049,1.0609,0.0609,0.0575,0.0539,0.0669,0.0559,0.0525,0.0648,1.0661,-0.0048,0.0114,0.0108,0.0097,1,0,193.66571428571427,191.55758000000003,189.0577383838384,73.86949216650525,2.2571129178781177,1.7857739994716864,0.0,0.009625295959008625,0.0048926747359927525
2025-05-27 04:00:00,192.1182,196.7742,191.5581,194.8588,624237,-0.0015,-0.0015,1.0593,0.0593,0.0273,0.0507,0.0669,0.0269,0.0495,0.0648,1.0661,-0.0064,0.0078,0.0109,0.0097,0,1,194.40442857142855,191.55758000000003,189.0577383838384,72.34249175850526,2.2571129178781177,1.7857739994716864,0.0,0.009625295959008625,-0.0015377213132476975
2025-05-28 04:00:00,194.6387,197.2193,194.4445,196.5391,506485,0.0086,0.0086,1.0684,0.0684,0.0276,0.0455,0.0669,0.0272,0.0445,0.0648,1.0684,0.0,0.0078,0.0106,0.0097,1,0,195.15742857142854,191.55758000000003,189.0577383838384,75.40781747416456,2.2571129178781177,1.7857739994716864,0.0,0.009625295959008625,0.008623167134355736
2025-05-29 04:00:00,196.099,197.3593,196.049,196.4291,458913,-0.0006,-0.0006,1.0678,0.0678,0.0124,0.0534,0.0669,0.0123,0.0521,0.0648,1.0684,-0.0006,0.0064,0.0102,0.0097,0,1,195.50178571428572,191.55758000000003,189.0577383838384,74.82317514889691,2.2571129178781177,1.7857739994716864,0.0,0.009625295959008625,-0.0005596850702989098
2025-05-30 04:00:00,196.4291,198.8096,196.2641,198.6846,666454,0.0115,0.0114,1.0801,0.0801,0.0131,0.0635,0.0669,0.013,0.0615,0.0648,1.0801,0.0,0.0065,0.0104,0.0097,1,0,195.86972857142857,191.55758000000003,189.0577383838384,78.50342990487687,2.2571129178781177,1.7857739994716864,0.0,0.009625295959008625,0.011482514556142576
2025-06-02 04:00:00,198.1995,199.1497,196.079,197.4593,582525,-0.0062,-0.0062,1.0734,0.0734,0.0115,0.072,0.0669,0.0115,0.0695,0.0648,1.0801,-0.0062,0.0068,0.0095,0.0097,0,1,196.19121428571427,191.55758000000003,189.0577383838384,72.31881699473442,2.2571129178781177,1.7857739994716864,0.0,0.009625295959008625,-0.0061670607586092885
2025-06-03 04:00:00,196.9892,197.1292,194.0086,194.8288,746349,-0.0133,-0.0134,1.0591,0.0591,0.0032,0.0606,0.0669,0.0032,0.0588,0.0648,1.0801,-0.0194,0.0086,0.0105,0.0097,0,1,196.2798,191.55758000000003,189.0577383838384,61.17620562299377,2.2571129178781177,1.7857739994716864,0.0,0.010303156686628364,-0.013321732630471206
2025-06-04 04:00:00,195.779,197.4493,194.5137,195.799,548742,0.005,0.005,1.0644,0.0644,0.0033,0.061,0.0669,0.0033,0.0592,0.0648,1.0801,-0.0145,0.0086,0.0105,0.0097,1,0,196.37124285714285,191.55758000000003,189.0577383838384,63.41515627788396,2.2571129178781177,1.7857739994716864,0.0,0.010312797888246274,0.004979756586295236
2025-06-05 04:00:00,196.5391,196.5991,194.9088,195.3389,614770,-0.0023,-0.0024,1.0619,0.0619,0.0025,0.0298,0.0669,0.0025,0.0294,0.0648,1.0801,-0.0168,0.0087,0.0081,0.0097,0,1,196.43982857142856,191.55758000000003,189.0577383838384,61.600856932026424,2.2571129178781177,1.7857739994716864,0.0,0.01003772253723224,-0.002349858783752823
2025-06-06 04:00:00,195.5189,196.2691,194.8488,195.0388,370169,-0.0015,-0.0015,1.0603,0.0603,-0.0076,0.0197,0.0669,-0.0077,0.0195,0.0648,1.0801,-0.0183,0.0079,0.008,0.0097,0,1,196.22549999999998,191.55758000000003,189.0577383838384,60.38730060470802,2.2571129178781177,1.7857739994716864,0.0,0.00979486438932104,-0.0015363043408147536
2025-06-09 04:00:00,194.0386,195.0388,191.2231,192.6984,535141,-0.012,-0.0121,1.0475,0.0475,-0.019,-0.0068,0.0669,-0.0192,-0.0068,0.0648,1.0801,-0.0301,0.0089,0.0078,0.0097,0,1,195.69254285714285,191.907376,189.0577383838384,51.81432128064485,2.2571129178781177,1.7857739994716864,0.0,0.010304222763777545,-0.011999663656667381
2025-06-10 04:00:00,192.5483,193.0284,191.038,192.0882,466469,-0.0032,-0.0032,1.0442,0.0442,-0.0332,-0.0205,0.0669,-0.0338,-0.0207,0.0648,1.0801,-0.0332,0.0063,0.0071,0.0097,0,1,194.7502,192.18371199999999,189.0577383838384,49.82810152278345,1.8936133998979017,1.7857739994716864,0.0,0.009700851152667613,-0.0031666064689690465
2025-06-11 04:00:00,192.0382,195.2589,191.2981,194.8288,720652,0.0143,0.0142,1.0591,0.0591,-0.0133,-0.0019,0.0669,-0.0134,-0.0019,0.0648,1.0801,-0.0194,0.0095,0.0082,0.0097,1,0,194.3744142857143,192.558904,189.0577383838384,57.67552664312874,1.8058640521937548,1.7857739994716864,21.27989997269213,0.009993799074485627,0.014267404244508564
2025-06-12 04:00:00,194.7788,197.2293,194.7788,197.1393,764630,0.0119,0.0118,1.0717,0.0717,0.0119,0.0151,0.0669,0.0118,0.015,0.0648,1.0801,-0.0078,0.0092,0.0086,0.0097,1,0,194.7044857142857,192.924824,189.0577383838384,62.93853681793811,1.9008483062467008,1.7857739994716864,20.95177656782895,0.010185552063967542,0.011859129656395684
2025-06-13 04:00:00,195.929,197.3893,195.0588,195.2389,726517,-0.0096,-0.0097,1.0613,0.0613,-0.0029,0.0004,0.0669,-0.0029,0.0004,0.0648,1.0801,-0.0173,0.01,0.009,0.0097,0,1,194.62447142857144,193.275744,189.0577383838384,56.693957934274415,1.8020052197497591,1.7857739994716864,20.701672518260455,0.00878979601149535,-0.009639884081966366
2025-06-16 04:00:00,196.2091,197.3943,195.2789,196.2691,441233,0.0053,0.0053,1.0669,0.0669,0.0048,0.0072,0.0669,0.0048,0.0072,0.0648,1.0801,-0.0122,0.0101,0.0091,0.0097,1,0,194.75735714285716,193.65351599999997,189.0577383838384,59.06501680642352,1.7862095796766653,1.7857739994716864,20.4712525274027,0.008690466682121034,0.005276612396402536
2025-06-17 04:00:00,195.859,196.6892,194.5037,196.079,467768,-0.001,-0.001,1.0659,0.0659,0.0053,-0.0023,0.0589,0.0053,-0.0023,0.0572,1.0801,-0.0131,0.0101,0.0088,0.0096,0,1,194.90595714285715,194.12896400000002,189.0577383838384,58.42929118276689,1.7383137411045197,1.7857739994716864,19.846149511579547,0.008137199636732572,-0.0009685681546407476
2025-06-18 04:00:00,196.2891,197.0692,195.1889,195.999,572501,-0.0004,-0.0004,1.0655,0.0655,0.0171,-0.0022,0.0569,0.017,-0.0022,0.0553,1.0801,-0.0135,0.0085,0.0088,0.0096,0,1,195.37747142857143,194.62075199999998,189.0577383838384,58.14566307628374,1.6745969018687674,1.7857739994716864,19.424686877401907,0.007774503281864278,-0.0004079988168035342
2025-06-20 04:00:00,196.1591,196.5041,193.6736,193.8886,628625,-0.0108,-0.0108,1.054,0.054,0.0094,-0.0241,0.0314,0.0093,-0.0244,0.0309,1.0801,-0.0241,0.0097,0.0085,0.0096,0,1,195.6346714285714,194.994628,189.0577383838384,51.09889994966679,1.4372415787995294,1.7857739994716864,18.238165330635002,0.008083073674545102,-0.010767401874499316
2025-06-23 04:00:00,194.3887,196.1391,193.3485,195.929,447037,0.0105,0.0105,1.0651,0.0651,0.0056,-0.0077,0.0507,0.0056,-0.0078,0.0495,1.0801,-0.0139,0.009,0.009,0.0096,1,0,195.79184285714285,195.244276,189.0577383838384,56.57809138932554,1.397667561251808,1.7081527118277107,16.97428267549782,0.008345445936594597,0.010523568688411755
2025-06-24 04:00:00,196.9692,197.9594,195.0838,197.2293,440354,0.0066,0.0066,1.0722,0.0722,0.0005,0.0123,0.0557,0.0005,0.0122,0.0542,1.0801,-0.0073,0.0081,0.0084,0.0097,1,0,195.8047,195.48272400000002,189.0577383838384,59.67868908680902,1.4544620767201195,1.6574145848061925,16.635200200262933,0.008402954433268876,0.006636587743519273
2025-06-25 04:00:00,196.6591,196.8391,195.3339,195.769,356529,-0.0074,-0.0074,1.0642,0.0642,0.0027,-0.0002,0.0628,0.0027,-0.0002,0.061,1.0801,-0.0147,0.0077,0.0086,0.0094,0,1,195.88042857142858,195.55273999999997,189.0577383838384,54.9344708074924,1.3658929697312487,1.5991102617912039,16.320337901830534,0.0085805898843987,-0.0074040723158272925
2025-06-26 04:00:00,196.6391,197.5593,195.769,197.2393,441333,0.0075,0.0075,1.0722,0.0722,0.0049,0.0097,0.0737,0.0049,0.0097,0.0711,1.0801,-0.0073,0.008,0.0088,0.0094,1,0,196.01902857142858,195.597952,189.0577383838384,58.51073568217985,1.3982243762814903,1.5589330846892613,16.348626319550515,0.008527001350056585,0.007510382134045646
