Date,Open,High,Low,Close,Volume,ret_1d,log_ret_1d,eq,cum_ret,ret_7d,ret_14d,ret_30d,log_ret_7d,log_ret_14d,log_ret_30d,roll_max,dd,vol_7d,vol_14d,vol_30d,up,down,MA7,MA25,MA99,RSI,MACD,MACD_signal,ADX,Volatility,returns
2025-04-03 04:00:00,270.49,270.54,238.1,238.5,1372200,-0.0629,-0.065,0.9371,-0.0629,-0.0282,0.0234,0.2605,-0.0286,0.0231,0.2315,0.9371,0.0,0.0751,0.054,0.0447,0,0,227.37142857142857,238.2668,291.87454545454545,52.44069523783998,7.405110388417171,14.38265296388802,0.0,0.04682930740437307,
2025-04-04 04:00:00,222.24,227.11,208.35,223.49,1846500,-0.0629,-0.065,0.9371,-0.0629,-0.0282,0.0234,0.2605,-0.0286,0.0231,0.2315,0.9371,0.0,0.0751,0.054,0.0447,0,1,227.37142857142857,238.2668,291.87454545454545,52.44069523783998,7.405110388417171,14.38265296388802,0.0,0.04682930740437307,-0.06293501048218031
2025-04-07 04:00:00,216.65,231.39,210.76,223.49,1091800,0.0,0.0,0.9371,-0.0629,-0.0282,0.0234,0.2605,-0.0286,0.0231,0.2315,0.9371,0.0,0.0751,0.054,0.0447,0,0,227.37142857142857,238.2668,291.87454545454545,52.44069523783998,7.405110388417171,14.38265296388802,0.0,0.04682930740437307,0.0
2025-04-08 04:00:00,231.94,232.54,209.38,213.54,878300,-0.0445,-0.0455,0.8953,-0.1047,-0.0282,0.0234,0.2605,-0.0286,0.0231,0.2315,0.9371,-0.0445,0.0751,0.054,0.0447,0,1,227.37142857142857,238.2668,291.87454545454545,52.44069523783998,7.405110388417171,14.38265296388802,0.0,0.04682930740437307,-0.04452100765134914
2025-04-09 04:00:00,213.02,247.52,205.73,243.77,1527800,0.1416,0.1324,1.0221,0.0221,-0.0282,0.0234,0.2605,-0.0286,0.0231,0.2315,1.0221,0.0,0.0751,0.054,0.0447,1,0,227.37142857142857,238.2668,291.87454545454545,52.44069523783998,7.405110388417171,14.38265296388802,0.0,0.04682930740437307,0.14156598295401346
2025-04-10 04:00:00,234.36,237.17,219.22,223.37,999000,-0.0837,-0.0874,0.9366,-0.0634,-0.0282,0.0234,0.2605,-0.0286,0.0231,0.2315,1.0221,-0.0837,0.0751,0.054,0.0447,0,1,227.37142857142857,238.2668,291.87454545454545,52.44069523783998,7.405110388417171,14.38265296388802,0.0,0.04682930740437307,-0.08368544119456867
2025-04-11 04:00:00,221.15,229.92,216.86,225.44,1103900,0.0093,0.0092,0.9452,-0.0548,-0.0282,0.0234,0.2605,-0.0286,0.0231,0.2315,1.0221,-0.0752,0.0751,0.054,0.0447,1,0,227.37142857142857,238.2668,291.87454545454545,52.44069523783998,7.405110388417171,14.38265296388802,0.0,0.04682930740437307,0.009267135246451952
2025-04-14 04:00:00,233.77,235.09,226.63,231.77,694400,0.0281,0.0277,0.9718,-0.0282,-0.0282,0.0234,0.2605,-0.0286,0.0231,0.2315,1.0221,-0.0492,0.0751,0.054,0.0447,1,0,226.41000000000003,238.2668,291.87454545454545,52.44069523783998,7.405110388417171,14.38265296388802,0.0,0.04682930740437307,0.028078424414478498
2025-04-15 04:00:00,229.52,234.0,227.69,228.11,619000,-0.0158,-0.0159,0.9564,-0.0436,0.0207,0.0234,0.2605,0.0205,0.0231,0.2315,1.0221,-0.0642,0.0707,0.054,0.0447,0,1,227.07,238.2668,291.87454545454545,52.44069523783998,7.405110388417171,14.38265296388802,0.0,0.04682930740437307,-0.015791517452646953
2025-04-16 04:00:00,224.64,227.93,220.34,224.76,748700,-0.0147,-0.0148,0.9424,-0.0576,0.0057,0.0234,0.2605,0.0057,0.0231,0.2315,1.0221,-0.078,0.0711,0.054,0.0447,0,1,227.25142857142856,238.2668,291.87454545454545,52.44069523783998,7.405110388417171,14.38265296388802,0.0,0.04682930740437307,-0.014685897154881555
