Date,Open,High,Low,Close,Volume,MA7,MA25,MA99,RSI,MACD,MACD_signal,ADX,Volatility
2025-07-24,3.199,3.347,3.018,3.12,12483794.33,3.282,3.3892399999999996,2.945919191919192,51.283723160416365,0.04758040989865453,0.008445356965559373,0.0,0.030343367406775287
2025-07-25,3.121,3.196,3.043,3.191,5149519.78,3.282,3.3892399999999996,2.945919191919192,51.283723160416365,0.04758040989865453,0.008445356965559373,0.0,0.030343367406775287
2025-07-26,3.191,3.376,3.185,3.298,7810541.55,3.282,3.3892399999999996,2.945919191919192,51.283723160416365,0.04758040989865453,0.008445356965559373,0.0,0.030343367406775287
2025-07-27,3.298,3.383,3.28,3.375,5576246.25,3.282,3.3892399999999996,2.945919191919192,51.283723160416365,0.04758040989865453,0.008445356965559373,0.0,0.030343367406775287
2025-07-28,3.375,3.446,3.184,3.207,8180843.47,3.282,3.3892399999999996,2.945919191919192,51.283723160416365,0.04758040989865453,0.008445356965559373,0.0,0.030343367406775287
2025-07-29,3.207,3.41,3.18,3.377,11101258.52,3.282,3.3892399999999996,2.945919191919192,51.283723160416365,0.04758040989865453,0.008445356965559373,0.0,0.030343367406775287
2025-07-30,3.377,3.494,3.263,3.406,16679863.89,3.282,3.3892399999999996,2.945919191919192,51.283723160416365,0.04758040989865453,0.008445356965559373,0.0,0.030343367406775287
2025-07-31,3.406,3.688,3.404,3.529,19857777.24,3.3404285714285713,3.3892399999999996,2.945919191919192,51.283723160416365,0.04758040989865453,0.008445356965559373,0.0,0.030343367406775287
2025-08-01,3.528,3.68,3.347,3.564,23146786.46,3.3937142857142857,3.3892399999999996,2.945919191919192,51.283723160416365,0.04758040989865453,0.008445356965559373,0.0,0.030343367406775287
2025-08-02,3.565,3.723,3.495,3.541,13207830.19,3.4284285714285714,3.3892399999999996,2.945919191919192,51.283723160416365,0.04758040989865453,0.008445356965559373,0.0,0.030343367406775287
2025-08-03,3.542,3.749,3.459,3.559,10450994.34,3.4547142857142856,3.3892399999999996,2.945919191919192,51.283723160416365,0.04758040989865453,0.008445356965559373,0.0,0.030343367406775287
2025-08-04,3.559,3.674,3.328,3.42,19338350.33,3.4851428571428573,3.3892399999999996,2.945919191919192,51.283723160416365,0.04758040989865453,0.008445356965559373,0.0,0.030343367406775287
2025-08-05,3.42,3.425,3.178,3.195,10216346.32,3.459142857142857,3.3892399999999996,2.945919191919192,51.283723160416365,0.04758040989865453,0.008445356965559373,0.0,0.030343367406775287
2025-08-06,3.196,3.325,3.139,3.308,9221558.44,3.4451428571428573,3.3892399999999996,2.945919191919192,51.283723160416365,0.04758040989865453,0.008445356965559373,0.0,0.030343367406775287
2025-08-07,3.308,3.357,3.222,3.346,8764251.88,3.419,3.3892399999999996,2.945919191919192,53.43222366984478,0.04758040989865453,0.008445356965559373,0.0,0.030343367406775287
2025-08-08,3.345,3.393,3.272,3.335,13924367.33,3.3862857142857146,3.3892399999999996,2.945919191919192,52.70757388209676,0.04758040989865453,0.008445356965559373,0.0,0.030343367406775287
2025-08-09,3.335,3.485,3.314,3.386,11019764.09,3.364142857142857,3.3892399999999996,2.945919191919192,55.70689665442766,0.04758040989865453,0.008445356965559373,0.0,0.030343367406775287
2025-08-10,3.387,3.435,3.29,3.348,6048086.0,3.334,3.3892399999999996,2.945919191919192,53.00927180764264,0.04758040989865453,0.008445356965559373,0.0,0.030343367406775287
2025-08-11,3.349,3.452,3.295,3.365,10186335.21,3.3261428571428575,3.3892399999999996,2.945919191919192,54.080591001488635,0.04758040989865453,0.008445356965559373,0.0,0.030343367406775287
2025-08-12,3.366,3.551,3.332,3.502,9742413.6,3.37,3.3892399999999996,2.945919191919192,61.6655359885987,0.04758040989865453,0.008445356965559373,0.0,0.030343367406775287
2025-08-13,3.502,3.544,3.367,3.531,14675824.54,3.4018571428571427,3.3892399999999996,2.945919191919192,63.05662471536448,0.04758040989865453,0.008445356965559373,0.0,0.030343367406775287
2025-08-14,3.532,3.643,3.314,3.411,15640395.15,3.411142857142857,3.3892399999999996,2.945919191919192,54.27920535386469,0.04758040989865453,0.008445356965559373,0.0,0.03139254264814246
2025-08-15,3.411,3.513,3.324,3.44,7878547.39,3.4261428571428567,3.3892399999999996,2.945919191919192,55.877645017860296,0.04758040989865453,0.008445356965559373,0.0,0.030635153640248474
2025-08-16,3.439,3.51,3.411,3.46,3584100.13,3.4367142857142854,3.3892399999999996,2.945919191919192,56.994315467648654,0.04758040989865453,0.008445356965559373,0.0,0.030257535810657515
2025-08-17,3.46,3.539,3.435,3.517,4511726.11,3.460857142857143,3.3892399999999996,2.945919191919192,60.09410984007219,0.04758040989865453,0.008445356965559373,0.0,0.02785852847812915
2025-08-18,3.517,3.526,3.307,3.329,7158843.84,3.4557142857142855,3.3975999999999997,2.945919191919192,47.844848929798914,0.04758040989865453,0.008445356965559373,0.0,0.028368270837395942
2025-08-19,3.328,3.354,3.184,3.225,11660896.91,3.4161428571428574,3.3989599999999998,2.945919191919192,42.664012827332975,0.028739015506408894,0.008445356965559373,0.0,0.029098105143803937
2025-08-20,3.224,3.293,3.195,3.28,5036794.0,3.3802857142857143,3.39824,2.945919191919192,45.994564470720555,0.018037193512411065,0.008445356965559373,16.7201551028791,0.028067104497499468
2025-08-21,3.281,3.338,3.231,3.315,5217288.7,3.3665714285714285,3.39584,2.945919191919192,48.06214725266167,0.012239045870248155,0.008445356965559373,15.753161202611325,0.02808622395462543
2025-08-22,3.315,3.442,3.204,3.423,10457256.28,3.364142857142857,3.40448,2.945919191919192,53.92406817609039,0.016172245912767558,0.008445356965559373,15.679020221560307,0.029185335932831544
2025-08-23,3.423,3.44,3.332,3.381,6058895.7,3.3528571428571428,3.40464,2.945919191919192,51.490233660738696,0.015719086448499286,0.008445356965559373,15.610175024870076,0.029244032743020083
2025-08-24,3.382,3.408,3.27,3.299,5199904.38,3.321714285714286,3.40036,2.945919191919192,47.02741961036119,0.008643601552579927,0.008445356965559373,14.9227503130499,0.028436995870428628
2025-08-25,3.3,3.327,3.093,3.115,7824168.56,3.2911428571428574,3.3838,2.945919191919192,38.883430927008924,-0.011676434779580358,0.008445356965559373,14.86452475458593,0.027309479847912144
2025-08-26,3.115,3.181,3.104,3.167,4862435.21,3.282857142857143,3.3679200000000002,2.945919191919192,41.943338271176806,-0.02331547823321456,0.008445356965559373,14.810458164583673,0.02630465399253978
2025-08-27,3.167,3.208,3.124,3.139,6760044.56,3.262714285714286,3.3518399999999997,2.945919191919192,40.75996307297472,-0.03440230169992908,-0.00012417476753831796,14.495749707066699,0.026154801832036563
2025-08-28,3.138,3.286,3.111,3.175,11783561.7,3.2427142857142854,3.33648,2.945919191919192,42.9871732229394,-0.03982471550775424,-0.008064282915581502,13.480339147727253,0.026349478577359916
2025-08-29,3.176,3.186,3.021,3.074,8466236.59,3.1928571428571426,3.3226400000000003,2.945919191919192,38.602249470407116,-0.051676182559381,-0.016786662844341403,13.266090730840968,0.026812149905734856
2025-08-30,3.075,3.142,3.035,3.127,5418097.8,3.1565714285714286,3.31992,2.945919191919192,41.948626258998424,-0.056144697399722165,-0.02465826975541756,13.067145772303702,0.02718800608376973
2025-08-31,3.127,3.188,3.124,3.165,2378855.01,3.137428571428571,3.3141999999999996,2.945919191919192,44.292988149799605,-0.05597450592249986,-0.030921516988834018,12.431250378380557,0.027344926264613375
2025-09-01,3.165,3.174,3.081,3.108,4423566.08,3.136428571428571,3.3046800000000003,2.945919191919192,41.58044164937864,-0.0597502874611715,-0.03668727108330152,12.213307920663325,0.025530675082972215
2025-09-02,3.108,3.184,3.093,3.169,3835648.11,3.136714285714285,3.29804,2.945919191919192,45.43186273225134,-0.057161509037496394,-0.0407821186741405,11.905878783726934,0.025978298509098514
2025-09-03,3.168,3.2,3.127,3.176,4010868.02,3.142,3.28964,2.945919191919192,45.87285476632369,-0.053923446066952874,-0.04341038415270298,11.445870622441907,0.025103843779844665
2025-09-04,3.177,3.203,3.086,3.098,4450377.07,3.1310000000000002,3.27964,2.945919191919192,41.8174823411471,-0.05699421216049405,-0.0461271497542612,11.415861154443245,0.025375723733151858
2025-09-05,3.097,3.142,3.071,3.09,4370952.62,3.1332857142857145,3.2686399999999995,2.945919191919192,41.41309944465193,-0.05938875297839097,-0.04877947039908716,11.531929132252884,0.025258124697795443
2025-09-06,3.089,3.095,2.998,3.059,3302051.49,3.1235714285714287,3.25092,2.945919191919192,39.806721626660995,-0.06306095728895489,-0.051635767777060707,12.298755482431828,0.02474393383375147
2025-09-07,3.06,3.107,3.06,3.094,2114547.47,3.1134285714285714,3.23344,2.945919191919192,42.51775413346954,-0.06242737425832656,-0.05379408907331388,12.849790514798581,0.0224310658716842
2025-09-08,3.094,3.111,3.077,3.095,4395991.11,3.111571428571429,3.2208000000000006,2.945919191919192,42.59730330518574,-0.06113978214876514,-0.05526322768840414,13.305103284257642,0.02145938300762325
2025-09-09,3.096,3.149,3.065,3.094,7943139.23,3.100857142857143,3.2069599999999996,2.945919191919192,42.5339131292402,-0.059514007337584385,-0.05611338361824019,13.191156479847365,0.021001287496234908
2025-09-10,3.094,3.172,3.086,3.171,5644255.64,3.100142857142857,3.1954000000000002,2.945919191919192,48.84628322963724,-0.05141957969534783,-0.055174622833661716,12.77047766750442,0.021706478761435454
2025-09-11,3.171,3.228,3.158,3.188,5978905.64,3.113,3.1822399999999997,2.945919191919192,50.14826232035916,-0.043135688184246845,-0.052766835903778744,12.055428270916853,0.020227819838702407
2025-09-12,3.188,3.233,3.17,3.219,5044921.18,3.1314285714285717,3.1778399999999998,2.945919191919192,52.52139604742326,-0.03368095052530107,-0.04894965882808321,11.453517881661103,0.02031517516458671
2025-09-13,3.219,3.266,3.183,3.227,5847271.38,3.1554285714285712,3.1779200000000003,2.945919191919192,53.14132918614107,-0.025251387396209246,-0.044210004541708425,11.30568315053698,0.019660421914545635
2025-09-14,3.227,3.248,3.138,3.18,3765404.13,3.1677142857142857,3.17392,2.945919191919192,49.08625015867337,-0.022108551470040982,-0.03978971392737494,10.53845438843345,0.015279897623165065
2025-09-15,3.18,3.225,3.114,3.156,4480435.68,3.176428571428571,3.1675600000000004,2.945919191919192,47.109405252354634,-0.021308796240478323,-0.03609353038999562,10.063311722795893,0.01493922121709705
2025-09-16,3.156,3.194,3.125,3.156,3611074.22,3.1852857142857145,3.1568799999999997,2.945919191919192,47.10940525235464,-0.020439372100616193,-0.03296269873211973,9.622107818989589,0.0147960620729044
2025-09-17,3.157,3.164,3.052,3.129,7293268.37,3.1792857142857143,3.1468000000000003,2.945919191919192,44.75759966270779,-0.021679118177925005,-0.030705982621280787,10.139541890606854,0.014682890567375796
2025-09-18,3.13,3.182,3.117,3.159,4782438.88,3.175142857142857,3.1412,2.945919191919192,47.87154391422226,-0.020010211336182415,-0.028566828364261113,10.331031640195373,0.012860249096302165
2025-09-19,3.158,3.2,3.097,3.108,5345275.5,3.1592857142857143,3.14092,2.945919191919192,43.393423082605246,-0.022543002712752003,-0.027362063233959295,10.756537475986928,0.012868461565225312
2025-09-20,3.107,3.116,3.082,3.091,2125418.1,3.139857142857143,3.13788,2.945919191919192,41.98360985879123,-0.02562660846120135,-0.027014972279407707,11.337773138922973,0.012576290371216773
2025-09-21,3.091,3.096,3.044,3.065,2860779.55,3.123428571428571,3.13492,2.945919191919192,39.851118433247244,-0.02982457184290732,-0.027576892192107634,12.330958949824181,0.012070312904642154
2025-09-22,3.065,3.084,2.581,2.805,18272519.2,3.073285714285714,3.12012,2.945919191919192,25.760155349341602,-0.05351443407252976,-0.03276440056819206,15.958778612394957,0.02164580860767566
2025-09-23,2.806,2.846,2.75,2.808,5865840.58,3.0235714285714286,3.1094800000000005,2.945919191919192,26.084917805224094,-0.07122570010345841,-0.040456660475245335,19.32746829906782,0.02162497168410832
