Date,Open,High,Low,Close,Volume,MA7,MA25,MA99,RSI,MACD,MACD_signal,ADX,Volatility
2023-04-04,36.5,38.0,36.2,37.7,12786.019,38.4,39.028,33.15191919191919,71.37934550804212,-0.33858527095488,-0.5504805755321794,0.0,0.030679375397719616
2023-04-05,37.7,38.6,37.4,38.0,8050.987,38.4,39.028,33.15191919191919,71.37934550804212,-0.33858527095488,-0.5504805755321794,0.0,0.030679375397719616
2023-04-06,38.0,38.1,37.0,37.7,9568.294,38.4,39.028,33.15191919191919,71.37934550804212,-0.33858527095488,-0.5504805755321794,0.0,0.030679375397719616
2023-04-07,37.8,38.1,36.6,37.7,8513.463,38.4,39.028,33.15191919191919,71.37934550804212,-0.33858527095488,-0.5504805755321794,0.0,0.030679375397719616
2023-04-08,37.7,38.8,37.5,38.5,5402.182,38.4,39.028,33.15191919191919,71.37934550804212,-0.33858527095488,-0.5504805755321794,0.0,0.030679375397719616
2023-04-09,38.5,40.1,37.6,39.7,10038.283,38.4,39.028,33.15191919191919,71.37934550804212,-0.33858527095488,-0.5504805755321794,0.0,0.030679375397719616
2023-04-10,39.7,39.9,38.2,39.5,7073.414,38.4,39.028,33.15191919191919,71.37934550804212,-0.33858527095488,-0.5504805755321794,0.0,0.030679375397719616
2023-04-11,39.5,40.4,39.1,39.8,14372.736,38.7,39.028,33.15191919191919,71.37934550804212,-0.33858527095488,-0.5504805755321794,0.0,0.030679375397719616
2023-04-12,39.8,39.9,38.2,39.8,6203.696,38.95714285714286,39.028,33.15191919191919,71.37934550804212,-0.33858527095488,-0.5504805755321794,0.0,0.030679375397719616
2023-04-13,39.9,42.2,39.6,41.2,14175.677,39.457142857142856,39.028,33.15191919191919,71.37934550804212,-0.33858527095488,-0.5504805755321794,0.0,0.030679375397719616
2023-04-14,41.3,42.8,40.7,42.2,9609.031,40.10000000000001,39.028,33.15191919191919,71.37934550804212,-0.33858527095488,-0.5504805755321794,0.0,0.030679375397719616
2023-04-15,42.2,43.2,41.1,42.9,8136.812,40.728571428571435,39.028,33.15191919191919,71.37934550804212,-0.33858527095488,-0.5504805755321794,0.0,0.030679375397719616
2023-04-16,42.8,43.4,42.0,42.7,4804.307,41.15714285714286,39.028,33.15191919191919,71.37934550804212,-0.33858527095488,-0.5504805755321794,0.0,0.030679375397719616
2023-04-17,42.7,42.7,41.3,41.6,4134.794,41.457142857142856,39.028,33.15191919191919,71.37934550804212,-0.33858527095488,-0.5504805755321794,0.0,0.030679375397719616
2023-04-18,41.6,43.2,41.2,42.5,4306.445,41.84285714285714,39.028,33.15191919191919,75.75381708750079,-0.33858527095488,-0.5504805755321794,0.0,0.030679375397719616
2023-04-19,42.6,42.7,37.3,38.2,14203.357,41.614285714285714,39.028,33.15191919191919,42.40528791870909,-0.33858527095488,-0.5504805755321794,0.0,0.030679375397719616
