Date,Open,High,Low,Close,Volume,MA7,MA25,MA99,RSI,MACD,MACD_signal,ADX,Volatility,returns
2026-07-29,340.08,344.9,337.61,340.94,229.096,,,,,,,,,
2026-07-30,341.45,342.09,306.13,312.83,3440.283,,,,,,,,,-0.08244852466709685
2026-07-31,313.05,316.0,300.86,307.79,14552.856,,,,,,,,,-0.016110986797941207
2026-08-01,307.83,309.25,306.64,307.63,639.165,,,,,,,,,-0.000519834952402709
2026-08-02,307.68,311.83,307.15,311.19,384.777,,,,,,,,,0.011572343399538498
2026-08-03,310.43,312.93,303.0,304.08,1935.604,,,,,,,,,-0.02284777788489356
2026-08-04,304.1,312.05,302.22,310.66,3243.926,,,,,,,,,0.02163904235727454
2026-08-05,310.67,313.54,305.44,312.57,2332.408,,,,,,,,,0.00614820060516319
2026-08-06,312.33,316.41,309.6,312.71,2366.346,,,,,,,,,0.00044789967047376145
2026-08-07,312.65,314.59,310.69,313.14,1252.812,,,,,,,,,0.0013750759489623565
2026-08-08,312.85,313.25,311.77,312.09,278.247,,,,,,,,,-0.0033531327840582437
2026-08-09,312.06,313.15,311.82,312.29,230.408,,,,,,,,,0.0006408407831075547
2026-08-10,312.24,313.51,312.21,313.04,279.206,,,,,,,,,0.002401613884530418
